region,n_src,n_tgt,clf_auc,ess_src_all,ess_src_frac,w_src_frac_at_min,w_src_frac_at_max,w_tgt_median,w_tgt_frac_at_max,seed,cond,ess_cal,ess_cal_frac,n_cal,Q_cqr_ak,Q_cqr_iw_median,Q_cqr_iw_frac_inf,Q_anchor_ak,Q_anchor_iw_median
Lena,13606.0,3037.0,1.0,4656.04689869787,0.34220541663221155,0.41070116125238865,0.0036013523445538732,10.0,1.0,,,,,,,,,,
Canada,13606.0,750.0,1.0,1599.3576279702972,0.11754796618920309,0.8311774217257093,0.005585770983389681,10.0,1.0,,,,,,,,,,
Russia_W,13606.0,31.0,1.0,1761.4902359240405,0.12946422430722038,0.4984565632809055,0.01587534911068646,10.0,1.0,,,,,,,,,,
Russia_C,13606.0,7.0,1.0,2232.471318135568,0.16407991460646537,0.4553873291195061,0.013890930471850653,10.0,1.0,,,,,,,,,,
Russia_E,13606.0,30.0,1.0,1675.4837171632323,0.12314300434831929,0.7489342936939586,0.009701602234308394,10.0,1.0,,,,,,,,,,
Greenland,13606.0,3.0,1.0,1919.3566227692893,0.14106692802949355,0.5354990445391739,0.01587534911068646,10.0,1.0,,,,,,,,,,
Lena,,,,,,,,,,0.0,calibration,336.8940485119772,0.08969490109477561,3756.0,3.2774309571861266,3.4471837330666233,0.0,20.19773038704018,29.459969428929003
Canada,,,,,,,,,,0.0,calibration,251.84652382118279,0.0670517901547345,3756.0,3.2774309571861266,2.9440434174746066,0.0,20.19773038704018,33.77554244389203
Russia_W,,,,,,,,,,0.0,calibration,476.00239134776814,0.1267312011043046,3756.0,3.2774309571861266,5.04663635233306,0.0,20.19773038704018,29.459969428929003
Russia_C,,,,,,,,,,0.0,calibration,220.86001982348438,0.05880192221072534,3756.0,3.2774309571861266,6.421988172280788,0.0,20.19773038704018,34.591389442040175
Russia_E,,,,,,,,,,0.0,calibration,323.0990334550716,0.08602210688367189,3756.0,3.2774309571861266,5.04663635233306,0.0,20.19773038704018,32.851097734040174
Greenland,,,,,,,,,,0.0,calibration,516.7726835219333,0.13758591148081292,3756.0,3.2774309571861266,2.941206659891364,0.0,20.19773038704018,30.12923850704017
