region,cond,method,n_splits,n_seeds,n_cells,n_blocks,coverage,coverage_sd_seed,width_mean,interval_score,is_under,is_over,frac_inf,Q_mean,cov_ci_lo,cov_ci_hi,is_ci_lo,is_ci_hi,ci_flag
Alaska,in_domain,raw,1,3,13606,74,0.4236366308981332,0.016179022395595936,15.048634055859766,117.26752796137123,52.596269390594706,49.622624514916765,0.0,,0.29124203561982237,0.6069461403991475,97.10132322308151,146.40192142587878,
Alaska,in_domain,cqr_ak,1,3,13606,74,0.9086432456269293,0.005958546558481827,48.94251465314032,70.34824747701902,4.00783347502729,17.397899348851414,0.0,,0.8336115342057692,0.942616504660595,58.53704665764283,95.42801992285716,
Alaska,in_domain,anchor_ak,1,3,13606,74,0.9059483561173991,0.008734776647015833,58.15031092348699,78.93339843863514,8.976516449774609,11.806571065373552,0.0,,0.7790301366589343,0.9533505633278252,69.72539671549097,103.39827412628007,
Canada,covonly,raw,3,3,384,29,0.20474803847053505,0.022138386149863715,13.1121509147712,404.55587609923555,62.73587797353353,328.7078472109308,0.0,,0.12796494956235333,0.2984065379139184,194.79867482113923,600.939535809724,
Canada,covonly,cqr_ak,3,3,384,29,0.5292274855813248,0.10514565846626923,41.44284181938957,264.9250225541063,12.808273552608297,210.67390718210842,0.0,14.165345452309182,0.34501385841943893,0.7370230141803075,96.348218598139,424.27999420860795,
Canada,covonly,cqr_iw,3,3,384,29,0.4678946110019302,0.10535444138079435,35.71560061318556,286.4553431569472,18.420460408165592,232.31928213559604,0.0,,0.29626188051867025,0.6630488310055112,107.16680811027396,456.4972512059207,
Canada,covonly,anchor_ak,3,3,384,29,0.7452034619075482,0.15666316885304993,64.95782941421443,148.88730392536593,40.185693905672856,43.74378060547862,0.0,32.478914707107215,0.6485746730627082,0.8477897829023755,93.8417891218385,203.0542406242725,
Canada,covonly,anchor_iw,3,3,384,29,0.8435856199214977,0.05481696939518702,76.62763483322395,128.5887562916001,21.526318800311234,30.434802658064932,0.0,,0.7450261638377516,0.9398215444843363,84.88883120677698,168.8058577812765,
Canada,covonly,cqr_pseudo,3,3,384,29,0.4593372301499827,0.04531365937206454,31.878862544602125,300.8829513704856,21.182642206726527,247.82144661915694,0.0,9.38335581491546,0.30533475966548307,0.6353416218574555,115.85449789870061,475.7779607098127,
Canada,covonly,cqr_real,3,3,384,29,0.7127155619746549,0.012116997430827767,64.39001011686098,203.86881644133948,2.3918989719441406,137.08690735253433,0.0,25.63892960104489,0.5226250072972365,0.9362718050865789,79.94628059328524,319.25370573066994,
Canada,covonly,anchor_pseudo,3,3,384,29,0.3356278373790722,0.007027618852394944,24.808452630307098,283.2141297976024,147.51458311006206,110.8910940572333,0.0,12.40422631515355,0.23475799568811365,0.4410627135496047,188.73352156320271,372.4387153052842,
