region,n_src,n_tgt,clf_auc,ess_src_all,ess_src_frac,w_src_frac_at_min,w_src_frac_at_max,w_tgt_median,w_tgt_frac_at_max,seed,cond,ess_cal,ess_cal_frac,n_cal,Q_cqr_ak,Q_cqr_iw_median,Q_cqr_iw_frac_inf,Q_anchor_ak,Q_anchor_iw_median
Lena,13606.0,3037.0,1.0,4656.04689869787,0.34220541663221155,0.41070116125238865,0.0036013523445538732,10.0,1.0,,,,,,,,,,
Canada,13606.0,750.0,1.0,1599.3576279702972,0.11754796618920309,0.8311774217257093,0.005585770983389681,10.0,1.0,,,,,,,,,,
Russia_W,13606.0,31.0,1.0,1761.4902359240405,0.12946422430722038,0.4984565632809055,0.01587534911068646,10.0,1.0,,,,,,,,,,
Russia_C,13606.0,7.0,1.0,2232.471318135568,0.16407991460646537,0.4553873291195061,0.013890930471850653,10.0,1.0,,,,,,,,,,
Russia_E,13606.0,30.0,1.0,1675.4837171632323,0.12314300434831929,0.7489342936939586,0.009701602234308394,10.0,1.0,,,,,,,,,,
Greenland,13606.0,3.0,1.0,1919.3566227692893,0.14106692802949355,0.5354990445391739,0.01587534911068646,10.0,1.0,,,,,,,,,,
Lena,,,,,,,,,,0.0,calibration,336.8940485119772,0.08969490109477561,3756.0,7.388427003176616,8.938397408673126,0.0,20.19773038704018,29.459969428929003
Canada,,,,,,,,,,0.0,calibration,251.84652382118279,0.0670517901547345,3756.0,7.388427003176616,5.671381392343633,0.0,20.19773038704018,33.77554244389203
Russia_W,,,,,,,,,,0.0,calibration,476.00239134776814,0.1267312011043046,3756.0,7.388427003176616,9.451319258994914,0.0,20.19773038704018,29.459969428929003
Russia_C,,,,,,,,,,0.0,calibration,220.86001982348438,0.05880192221072534,3756.0,7.388427003176616,9.421186691341816,0.0,20.19773038704018,34.591389442040175
Russia_E,,,,,,,,,,0.0,calibration,323.0990334550716,0.08602210688367189,3756.0,7.388427003176616,8.938397408673126,0.0,20.19773038704018,32.851097734040174
Greenland,,,,,,,,,,0.0,calibration,516.7726835219333,0.13758591148081292,3756.0,7.388427003176616,5.677758693928478,0.0,20.19773038704018,30.12923850704017
Lena,,,,,,,,,,1.0,calibration,956.8010328068867,0.42336328885260477,2260.0,16.79345036278397,13.702263522298303,0.0,31.277995543109668,27.755638910671845
Canada,,,,,,,,,,1.0,calibration,816.664542690849,0.3613559923410836,2260.0,16.79345036278397,11.134230163316246,0.0,31.277995543109668,32.8538528864186
Russia_W,,,,,,,,,,1.0,calibration,702.2386274813085,0.31072505640765863,2260.0,16.79345036278397,8.359438393692422,0.0,31.277995543109668,27.586319963787034
Russia_C,,,,,,,,,,1.0,calibration,788.9682995675064,0.3491010175077462,2260.0,16.79345036278397,11.185958067648862,0.0,31.277995543109668,29.689956327423403
Russia_E,,,,,,,,,,1.0,calibration,793.0469057846194,0.35090571052416786,2260.0,16.79345036278397,12.856118856904388,0.0,31.277995543109668,36.848289660756734
Greenland,,,,,,,,,,1.0,calibration,805.0585044497927,0.3562205771901738,2260.0,16.79345036278397,13.349871369619002,0.0,31.277995543109668,33.34788680983151
Lena,,,,,,,,,,2.0,calibration,85.7109991625305,0.3105470984149656,276.0,18.31415899096696,0.5098820726065085,0.0,45.9610181911718,32.24803141070267
Canada,,,,,,,,,,2.0,calibration,109.23105098990796,0.3957646774996665,276.0,18.31415899096696,17.099562991961648,0.0,45.9610181911718,48.31205691952528
Russia_W,,,,,,,,,,2.0,calibration,78.39820002267733,0.2840514493575266,276.0,18.31415899096696,3.7958815250634217,0.0,45.9610181911718,33.414698077369344
Russia_C,,,,,,,,,,2.0,calibration,109.00790326477156,0.3949561712491723,276.0,18.31415899096696,3.0132886935928056,0.0,45.9610181911718,32.92035559939498
Russia_E,,,,,,,,,,2.0,calibration,154.51285654007356,0.5598291903625854,276.0,18.31415899096696,16.467264621529253,0.0,45.9610181911718,47.64539025285862
Greenland,,,,,,,,,,2.0,calibration,81.41010101220317,0.2949641341021854,276.0,18.31415899096696,18.114883669148306,0.0,45.9610181911718,48.59777120523957
