model,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90
Stefan 1모수,-1,13606,14.457,10.731,-0.993,0.3083,17.382,0.1683,,
Stefan 2모수,-1,13606,13.932,10.201,-0.566,0.3576,17.382,0.1985,,
histgbm,0,13606,14.403,10.425,-0.065,0.3134,17.382,0.1714,,
histgbm,1,13606,17.2,13.358,3.523,0.0208,17.382,0.0105,,
histgbm,2,13606,14.532,10.614,0.623,0.301,17.382,0.1639,,
mlp,0,13606,14.724,10.854,1.338,0.2824,17.382,0.1529,,
mlp,1,13606,14.32,10.52,-2.116,0.3213,17.382,0.1762,,
mlp,2,13606,13.932,10.207,-3.061,0.3576,17.382,0.1985,,
tabm,0,13606,14.628,10.764,1.117,0.2918,17.382,0.1584,,
tabm,1,13606,13.848,10.22,-2.005,0.3653,17.382,0.2033,,
tabm,2,13606,14.366,10.576,-1.447,0.3169,17.382,0.1735,,
catboost,0,13606,13.879,10.084,-1.909,0.3625,17.382,0.2015,,
catboost,1,13606,13.724,9.977,-1.607,0.3766,17.382,0.2105,,
catboost,2,13606,13.83,9.953,-1.364,0.3669,17.382,0.2043,,
