site,lat,lon,field_alt_magt_cm,field_alt_seasmax_cm,obs_alt_cm,dist_deg
ATT_0108,46.0968,7.2731,,,414.0,0.0
ATT_0208,46.0967,7.2737,50.0,183.7,414.0,0.0006
Arctic Village#755,68.129,-145.534,50.0,91.4,65.7,0.0062
Barrow#33,71.309,-156.6615,1.0,37.0,40.7,0.0
Barrow#519,71.2893,-156.7626,100.0,47.3,83.7,0.0001
Bolvansky#1827,67.5776,55.1568,802.7,802.7,198.3,0.0116
Bolvansky#1828,67.5772,55.1453,200.0,201.8,198.3,0.0
Bolvansky#1830,67.5767,55.1331,436.3,439.8,198.3,0.0001
Bolvansky#1831,67.5764,55.1228,300.0,163.4,198.3,0.0103
Bolvansky#431,68.2911,54.5042,100.0,136.4,206.8,0.0066
Bolvansky#432,68.2897,53.5025,100.0,235.8,98.2,0.0
Bolvansky#433,68.2897,54.5058,300.0,171.5,206.8,0.0076
Bolvansky#69,68.2875,54.4986,163.9,266.6,206.8,0.0
Bolvansky#70,68.2867,54.5194,300.0,178.3,206.8,0.0209
Bolvansky#71,68.2853,54.4828,300.0,189.3,206.8,0.016
COR_0200,46.4285,9.822,50.0,135.3,248.3,0.0
COR_0287,46.4288,9.8218,55.0,129.0,366.6,0.0
Chandalar Shelf#831,68.0691,-149.5804,1.0,88.1,37.8,0.0
Chara#1116,56.7608,118.1916,2.0,,53.0,0.0026
Chara#1835,56.7608,118.1897,35.0,,53.0,0.0008
Chara#224,56.761,118.1896,50.0,107.8,53.0,0.0009
Chara#225,56.9055,118.2813,13.8,646.0,50.0,0.001
Cherskii#213,69.4834,156.9878,300.0,93.4,44.8,0.0045
Cherskii#215,68.7255,158.9074,500.0,104.1,40.7,0.0108
Cherskii#222,68.8122,160.9884,300.0,77.3,55.2,0.0124
Chevak#746,61.538,-165.6013,100.0,103.6,105.7,0.0001
Chukotka#634,67.4847,171.9447,40.0,86.6,194.5,0.0
Circle#752,65.817,-144.067,200.0,175.0,247.7,0.0
Dead Horse#64,70.1613,-148.4653,400.0,85.4,66.2,0.0
Dead Horse#87,70.1615,-148.4656,1.0,80.6,66.2,0.0004
Dead Horse#88,70.1617,-148.4651,2.0,57.6,66.2,0.0005
Eagle#754,64.7784,-141.1802,100.0,142.0,97.8,0.0
FLU_0102,46.7489,9.9436,378.3,389.8,292.7,0.0
Fairbanks#1110,64.715,-148.2885,15.7,,74.7,0.0086
Fairbanks#615,64.8753,-147.8465,200.0,297.6,126.6,0.0143
Fairbanks#616,64.8745,-147.8482,400.0,203.3,126.6,0.0124
Fairbanks#618,64.8675,-147.8588,17.2,,126.6,0.0011
Fairbanks#619,64.8669,-147.8584,17.7,254.3,126.6,0.0004
Fairbanks#620,64.8661,-147.8568,3.7,163.2,126.6,0.0014
Fairbanks#621,64.8529,-147.8578,5.6,147.3,126.6,0.0139
Fairbanks#624,64.8678,-147.7849,17.9,178.9,69.0,0.0
Fairbanks#630,64.7069,-148.2913,34.6,334.7,74.7,0.0
Franklin Bluff#102,69.6741,-148.7208,400.0,81.8,63.9,0.0012
Franklin Bluff#103,69.6741,-148.7208,2.0,83.6,63.9,0.0012
Franklin Bluff#104,69.6741,-148.7208,9.0,,63.9,0.0012
Franklin Bluff#105,69.6741,-148.7208,1.0,80.4,63.9,0.0012
Franklin Bluff#106,69.6551,-148.722,1.0,79.2,63.9,0.0188
Franklin Bluff#107,69.6551,-148.722,1.0,78.8,63.9,0.0188
GEN_0102,46.0837,7.3025,50.0,95.3,334.7,0.0
Galbraith Lake#830,68.4774,-149.5024,1.0,67.7,53.0,0.0
Happy Valley#109,69.1565,-148.8374,300.0,119.4,41.4,0.0147
Happy Valley#110,69.1466,-148.8483,1.0,,41.4,0.0
Happy Valley#95,69.1466,-148.8484,1.0,,41.4,0.0001
Ivotuk#65,68.4789,-155.7381,1.0,,51.8,0.0065
Ivotuk#74,68.481,-155.7395,1.0,,51.8,0.0067
Kytalyk#1141,70.8304,147.4883,10.0,65.8,68.2,0.0001
LAP_0198,46.1061,7.2843,234.1,,494.9,0.0
LAP_1108,46.1062,7.2847,52.5,233.2,494.9,0.0004
LAP_1208,46.1056,7.2838,158.6,437.1,494.9,0.0007
MAT_0205,45.9823,7.6761,50.0,205.3,368.9,0.0001
MBP_0196,46.4964,9.9311,50.0,144.3,244.9,0.0004
MBP_0296,46.4966,9.9314,50.0,148.3,244.9,0.0
MUR_0199,46.5076,9.9275,947.0,947.0,484.6,0.0091
MUR_0299,46.5073,9.9272,,,484.6,0.0087
Marre Sale#1833,69.7164,66.8125,5.0,83.4,179.7,0.0019
Marre Sale#435,69.7164,66.8125,5.0,89.4,179.7,0.0019
Marre Sale#436,69.7152,66.8179,5.0,91.4,179.7,0.0037
Marre Sale#437,69.7141,66.8139,5.0,110.7,179.7,0.0014
Marre Sale#438,69.7093,66.8341,5.0,90.2,236.3,0.0
Murtèl-Corvatsch#1844,46.4288,9.8218,25.0,138.9,366.6,0.0
Murtèl-Corvatsch#870,46.4285,9.822,50.0,101.5,248.3,0.0
Murtèl-Corvatsch#871,46.4288,9.8218,55.0,180.1,366.6,0.0
Nadym#1100,65.3158,72.8692,,,286.8,0.0005
Nadym#1101,65.3225,72.8817,720.1,720.2,286.8,0.0143
Nadym#1102,65.6748,72.8742,,,264.6,0.0
Nadym#1103,65.3155,72.8599,100.0,209.0,149.8,0.0044
Nadym#1104,65.2993,72.8834,60.0,188.3,92.9,0.0048
Nadym#1105,65.3079,72.8491,100.0,223.5,92.3,0.011
Nadym#1106,65.2986,72.8848,100.0,309.7,92.9,0.0035
Nadym#169,65.3156,72.8732,,,286.8,0.004
Nadym#170,65.3153,72.8693,,,286.8,0.0
Nadym#171,65.3086,72.8239,100.0,172.2,92.3,0.0357
Nadym#172,65.3147,72.8606,100.0,203.6,149.8,0.0036
Nadym#173,65.3147,72.8612,100.0,227.9,149.8,0.003
Nadym#174,65.3134,72.8872,25.0,,92.9,0.0143
Nadym#175,65.3146,72.8629,83.4,,149.8,0.0013
Nadym#176,65.3145,72.8618,49.5,,149.8,0.0024
Nadym#177,65.3055,72.892,,,92.9,0.0075
Nadym#178,65.2985,72.895,59.0,202.7,92.9,0.0068
Nadym#179,65.3166,72.862,50.0,180.7,149.8,0.0028
Nadym#34,65.3033,72.8592,,,92.3,0.0
Nadym#92,65.2994,72.8862,59.3,216.9,92.9,0.002
Nerstinsky,70.2333,68.9167,,81.8,46.7,0.0484
Novyi Urengoy#419,66.1882,76.5408,5.0,166.0,47.5,0.001
Novyi Urengoy#420,66.1873,76.5408,50.0,250.6,47.5,0.0
Old Man#749,66.4502,-150.6188,510.8,511.8,41.2,0.0021
RIT_0102,46.1747,7.8498,384.5,386.6,378.9,0.0
SBE_0190,46.4974,9.9263,199.1,299.4,484.6,0.0018
SBE_0290,46.4988,9.9252,164.7,251.4,484.6,0.0
SCH_5000,46.5583,7.8344,233.3,318.4,468.9,0.0
SCH_5198,46.5583,7.8346,265.6,312.1,468.9,0.0002
SCH_5200,46.5583,7.8344,10.0,318.3,468.9,0.0
SCH_5318,46.5583,7.8343,50.0,308.1,468.9,0.0001
STO_6000,45.9868,7.8242,229.6,325.9,393.0,0.0
STO_6100,45.9866,7.824,20.0,192.5,393.0,0.0003
Sagwon#116,69.433,-148.6738,1.0,102.6,57.8,0.0087
Samoylov (Lena River Delta)#53,72.3696,126.4751,75.0,47.4,51.7,0.0055
Schilthorn#864,46.5583,7.8344,330.0,350.2,468.9,0.0
Schilthorn#865,46.5583,7.8346,391.9,400.1,468.9,0.0002
Schilthorn#866,46.5583,7.8344,233.3,318.4,468.9,0.0
Severo-Urengoysky,67.4833,76.65,,93.9,95.3,0.0456
Svalbard #1192,78.9209,11.8334,50.0,67.9,167.4,0.0001
Svalbard #166,78.2015,15.8346,25.0,56.1,95.3,0.0001
Svalbard #1837,78.9219,11.8658,30.0,54.7,144.8,0.0001
Svalbard #1838,78.095,14.241,50.0,61.1,169.4,0.0001
Svalbard #1839,78.0908,14.2024,75.0,58.2,144.5,0.0001
Svalbard #1859,78.2215,15.658,25.0,76.7,97.5,0.0
Svalbard #57,78.0566,13.6415,25.0,79.4,237.0,0.0026
Svalbard #60,78.1926,15.5984,100.0,92.1,218.6,0.0
Svalbard #62,78.1416,16.0626,25.0,114.0,47.2,0.0
Svalbard #63,78.1902,15.7816,25.0,77.6,277.4,0.0
Svalbard #98,78.0546,13.6367,25.0,136.0,237.0,0.0026
Tiksi#1113,71.5867,128.7773,300.0,92.5,42.2,0.0069
Toolik Lake#97,68.628,-149.5954,500.0,75.3,40.4,0.0122
Ust-Kamchatsky#464,55.8878,160.5358,380.0,103.8,48.8,0.0035
Ust-Kamchatsky#468,55.7506,160.2896,100.0,152.1,98.0,0.0001
Vorkuta#182,67.5486,64.1738,500.0,327.8,82.9,0.036
West Dock#117,70.3745,-148.5522,200.0,47.2,32.1,0.0
West Dock#118,70.3745,-148.5522,1.0,49.0,32.1,0.0001
Yakutsk#451,62.0136,129.656,300.0,145.1,202.9,0.0008
