setting,level,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,coverage,width_cm,cov_ci_lo,cov_ci_hi
median_point,,0,13606,14.734,10.703,1.31,0.2814,17.382,0.1523,,,,,,
raw,0.5,0,13606,,,,,,,,,0.2335,6.959,,
cqr,0.5,0,13606,,,,,,,,,0.5171,17.648,,
raw,0.6,0,13606,,,,,,,,,0.2832,8.682,,
cqr,0.6,0,13606,,,,,,,,,0.6025,21.865,,
raw,0.7,0,13606,,,,,,,,,0.3309,10.498,,
cqr,0.7,0,13606,,,,,,,,,0.6626,25.983,,
raw,0.8,0,13606,,,,,,,,,0.388,12.741,,
cqr,0.8,0,13606,,,,,,,,,0.7379,32.163,,
raw,0.9,0,13606,,,,,,,,,0.4562,15.843,,
cqr,0.9,0,13606,,,,,,,,,0.824,42.677,,
median_point,,1,13606,14.692,10.667,1.12,0.2856,17.382,0.1548,,,,,,
raw,0.5,1,13606,,,,,,,,,0.1816,5.86,,
cqr,0.5,1,13606,,,,,,,,,0.6328,23.089,,
raw,0.6,1,13606,,,,,,,,,0.2392,7.804,,
cqr,0.6,1,13606,,,,,,,,,0.7392,29.395,,
raw,0.7,1,13606,,,,,,,,,0.2936,9.617,,
cqr,0.7,1,13606,,,,,,,,,0.8319,37.249,,
raw,0.8,1,13606,,,,,,,,,0.3637,12.105,,
cqr,0.8,1,13606,,,,,,,,,0.9009,46.801,,
raw,0.9,1,13606,,,,,,,,,0.4458,15.532,,
cqr,0.9,1,13606,,,,,,,,,0.9613,64.345,,
median_point,,2,13606,15.461,11.396,0.236,0.2088,17.382,0.1105,,,,,,
raw,0.5,2,13606,,,,,,,,,0.174,5.699,,
cqr,0.5,2,13606,,,,,,,,,0.4511,16.732,,
raw,0.6,2,13606,,,,,,,,,0.2164,7.246,,
cqr,0.6,2,13606,,,,,,,,,0.5445,21.196,,
raw,0.7,2,13606,,,,,,,,,0.2526,8.737,,
cqr,0.7,2,13606,,,,,,,,,0.6334,26.116,,
raw,0.8,2,13606,,,,,,,,,0.2902,10.394,,
cqr,0.8,2,13606,,,,,,,,,0.7852,35.172,,
raw,0.9,2,13606,,,,,,,,,0.3415,12.575,,
cqr,0.9,2,13606,,,,,,,,,0.9272,53.896,,
raw_seedmean,0.5,-1,13606,,,,,,,,,0.2079,6.173,0.136,0.2946
cqr_seedmean,0.5,-1,13606,,,,,,,,,0.5536,19.156,0.4629,0.6731
raw_seedmean,0.6,-1,13606,,,,,,,,,0.2626,7.91,0.1801,0.3674
cqr_seedmean,0.6,-1,13606,,,,,,,,,0.6554,24.152,0.5623,0.7758
raw_seedmean,0.7,-1,13606,,,,,,,,,0.3103,9.617,0.2177,0.4336
cqr_seedmean,0.7,-1,13606,,,,,,,,,0.7384,29.783,0.6508,0.8493
raw_seedmean,0.8,-1,13606,,,,,,,,,0.3731,11.747,0.2605,0.528
cqr_seedmean,0.8,-1,13606,,,,,,,,,0.8329,38.045,0.7621,0.9146
raw_seedmean,0.9,-1,13606,,,,,,,,,0.4456,14.65,0.3227,0.6167
cqr_seedmean,0.9,-1,13606,,,,,,,,,0.9344,53.64,0.8894,0.9659
