proto,target,family,anchor,pseudo,resid,r,lam,rmse,bias,sd,n,nseed,name
half,Canada,analytic,cci,none,none,0.0,0.0,35.322,10.245,,371,1,위성제품
half,Canada,analytic,cci_cal,none,none,0.0,0.0,30.422,-8.202,,371,1,위성제품(보정)
half,Canada,analytic,stefan,none,none,0.0,0.0,31.289,-8.507,,371,1,Stefan
half,Canada,analytic,stefan_cci,none,none,0.0,0.0,28.787,1.12,,371,1,Stefan+위성제품
half,Canada,analytic,stefan_cci_w,none,none,0.0,0.0,29.665,-8.005,,371,1,Stefan+위성제품(가중학습)
half,Canada,anchored,stefan,cci,catboost,0.5,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0) · 위성제품 증강(r=0.5)
half,Canada,anchored,stefan,cci,catboost,0.5,0.25,29.845,-5.599333333333334,0.11557248807566732,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25) · 위성제품 증강(r=0.5)
half,Canada,anchored,stefan,cci,catboost,0.5,0.5,29.284666666666666,-2.692,0.1993347268624637,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.5) · 위성제품 증강(r=0.5)
half,Canada,anchored,stefan,cci,catboost,0.5,0.75,29.657666666666668,0.215,0.24218656720250456,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.75) · 위성제품 증강(r=0.5)
half,Canada,anchored,stefan,cci,catboost,0.5,1.0,30.930666666666667,3.1223333333333336,0.24249604807776287,371,3,Stefan 앵커 + 부스팅 잔차(λ=1) · 위성제품 증강(r=0.5)
half,Canada,anchored,stefan,cci,catboost,1.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0) · 위성제품 증강(r=1)
half,Canada,anchored,stefan,cci,catboost,1.0,0.25,29.901,-5.534,0.051068581339215595,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25) · 위성제품 증강(r=1)
half,Canada,anchored,stefan,cci,catboost,1.0,0.5,29.42533333333333,-2.5613333333333332,0.07759725081040823,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.5) · 위성제품 증강(r=1)
half,Canada,anchored,stefan,cci,catboost,1.0,0.75,29.905666666666665,0.41100000000000003,0.0879450586066865,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.75) · 위성제품 증강(r=1)
half,Canada,anchored,stefan,cci,catboost,1.0,1.0,31.298333333333332,3.384,0.10862933919219595,371,3,Stefan 앵커 + 부스팅 잔차(λ=1) · 위성제품 증강(r=1)
half,Canada,anchored,stefan,cci,catboost,2.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0) · 위성제품 증강(r=2)
half,Canada,anchored,stefan,cci,catboost,2.0,0.25,30.076999999999998,-5.617666666666666,0.14839474384222687,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25) · 위성제품 증강(r=2)
half,Canada,anchored,stefan,cci,catboost,2.0,0.5,29.785666666666668,-2.7289999999999996,0.28256739609044423,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.5) · 위성제품 증강(r=2)
half,Canada,anchored,stefan,cci,catboost,2.0,0.75,30.44033333333333,0.16,0.39904552789541836,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.75) · 위성제품 증강(r=2)
half,Canada,anchored,stefan,cci,catboost,2.0,1.0,31.984333333333336,3.048666666666667,0.49936993635313226,371,3,Stefan 앵커 + 부스팅 잔차(λ=1) · 위성제품 증강(r=2)
half,Canada,anchored,stefan,cci,catboost,5.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,catboost,5.0,0.25,30.032333333333337,-5.4750000000000005,0.08918706931687513,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,catboost,5.0,0.5,29.779666666666667,-2.444,0.1548461602150126,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.5) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,catboost,5.0,0.75,30.556,0.5876666666666667,0.22181298429082377,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.75) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,catboost,5.0,1.0,32.28666666666667,3.6189999999999998,0.3143633778501127,371,3,Stefan 앵커 + 부스팅 잔차(λ=1) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,catboost,10.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,cci,catboost,10.0,0.25,29.951666666666668,-5.5136666666666665,0.03214550253664397,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25) · 위성제품 증강(r=10)
