proto,family,anchor,pseudo,resid,r,lam,rmse_mean,n_reg,name
half,analytic,cci,none,none,0.0,0.0,25.9035,2,위성제품
half,analytic,cci_cal,none,none,0.0,0.0,22.9905,2,위성제품(보정)
half,analytic,stefan,none,none,0.0,0.0,23.723,2,Stefan
half,analytic,stefan_cci,none,none,0.0,0.0,21.6775,2,Stefan+위성제품
half,analytic,stefan_cci_w,none,none,0.0,0.0,22.9115,2,Stefan+위성제품(가중학습)
half,anchored,stefan,cci,catboost,0.5,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0) · 위성제품 증강(r=0.5)
half,anchored,stefan,cci,catboost,0.5,0.25,22.3205,2,Stefan 앵커 + 부스팅 잔차(λ=0.25) · 위성제품 증강(r=0.5)
half,anchored,stefan,cci,catboost,0.5,0.5,21.816333333333333,2,Stefan 앵커 + 부스팅 잔차(λ=0.5) · 위성제품 증강(r=0.5)
half,anchored,stefan,cci,catboost,0.5,0.75,22.276666666666667,2,Stefan 앵커 + 부스팅 잔차(λ=0.75) · 위성제품 증강(r=0.5)
half,anchored,stefan,cci,catboost,0.5,1.0,23.634833333333333,2,Stefan 앵커 + 부스팅 잔차(λ=1) · 위성제품 증강(r=0.5)
half,anchored,stefan,cci,catboost,1.0,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0) · 위성제품 증강(r=1)
half,anchored,stefan,cci,catboost,1.0,0.25,22.353166666666667,2,Stefan 앵커 + 부스팅 잔차(λ=0.25) · 위성제품 증강(r=1)
half,anchored,stefan,cci,catboost,1.0,0.5,21.912333333333333,2,Stefan 앵커 + 부스팅 잔차(λ=0.5) · 위성제품 증강(r=1)
half,anchored,stefan,cci,catboost,1.0,0.75,22.460666666666665,2,Stefan 앵커 + 부스팅 잔차(λ=0.75) · 위성제품 증강(r=1)
half,anchored,stefan,cci,catboost,1.0,1.0,23.919666666666664,2,Stefan 앵커 + 부스팅 잔차(λ=1) · 위성제품 증강(r=1)
half,anchored,stefan,cci,catboost,2.0,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0) · 위성제품 증강(r=2)
half,anchored,stefan,cci,catboost,2.0,0.25,22.451999999999998,2,Stefan 앵커 + 부스팅 잔차(λ=0.25) · 위성제품 증강(r=2)
half,anchored,stefan,cci,catboost,2.0,0.5,22.106333333333332,2,Stefan 앵커 + 부스팅 잔차(λ=0.5) · 위성제품 증강(r=2)
half,anchored,stefan,cci,catboost,2.0,0.75,22.735666666666667,2,Stefan 앵커 + 부스팅 잔차(λ=0.75) · 위성제품 증강(r=2)
half,anchored,stefan,cci,catboost,2.0,1.0,24.257,2,Stefan 앵커 + 부스팅 잔차(λ=1) · 위성제품 증강(r=2)
half,anchored,stefan,cci,catboost,5.0,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0) · 위성제품 증강(r=5)
half,anchored,stefan,cci,catboost,5.0,0.25,22.442333333333337,2,Stefan 앵커 + 부스팅 잔차(λ=0.25) · 위성제품 증강(r=5)
half,anchored,stefan,cci,catboost,5.0,0.5,22.132833333333334,2,Stefan 앵커 + 부스팅 잔차(λ=0.5) · 위성제품 증강(r=5)
half,anchored,stefan,cci,catboost,5.0,0.75,22.84133333333333,2,Stefan 앵커 + 부스팅 잔차(λ=0.75) · 위성제품 증강(r=5)
half,anchored,stefan,cci,catboost,5.0,1.0,24.47266666666667,2,Stefan 앵커 + 부스팅 잔차(λ=1) · 위성제품 증강(r=5)
half,anchored,stefan,cci,catboost,10.0,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0) · 위성제품 증강(r=10)
half,anchored,stefan,cci,catboost,10.0,0.25,22.4065,2,Stefan 앵커 + 부스팅 잔차(λ=0.25) · 위성제품 증강(r=10)
half,anchored,stefan,cci,catboost,10.0,0.5,22.032833333333333,2,Stefan 앵커 + 부스팅 잔차(λ=0.5) · 위성제품 증강(r=10)
half,anchored,stefan,cci,catboost,10.0,0.75,22.653,2,Stefan 앵커 + 부스팅 잔차(λ=0.75) · 위성제품 증강(r=10)
half,anchored,stefan,cci,catboost,10.0,1.0,24.180833333333332,2,Stefan 앵커 + 부스팅 잔차(λ=1) · 위성제품 증강(r=10)
half,anchored,stefan,cci,mlp,1.0,0.0,23.723,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · 위성제품 증강(r=1)
half,anchored,stefan,cci,mlp,1.0,0.25,21.324833333333334,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · 위성제품 증강(r=1)
half,anchored,stefan,cci,mlp,1.0,0.5,22.887500000000003,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · 위성제품 증강(r=1)
half,anchored,stefan,cci,mlp,1.0,0.75,27.551,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · 위성제품 증강(r=1)
half,anchored,stefan,cci,mlp,1.0,1.0,33.9775,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · 위성제품 증강(r=1)
half,anchored,stefan,cci,mlp,5.0,0.0,23.723,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · 위성제품 증강(r=5)
half,anchored,stefan,cci,mlp,5.0,0.25,22.464333333333332,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · 위성제품 증강(r=5)
half,anchored,stefan,cci,mlp,5.0,0.5,23.521,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · 위성제품 증강(r=5)
half,anchored,stefan,cci,mlp,5.0,0.75,26.5185,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · 위성제품 증강(r=5)
half,anchored,stefan,cci,mlp,5.0,1.0,30.832666666666665,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · 위성제품 증강(r=5)
half,anchored,stefan,cci,mlp,10.0,0.0,23.723,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · 위성제품 증강(r=10)
half,anchored,stefan,cci,mlp,10.0,0.25,22.251,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · 위성제품 증강(r=10)
half,anchored,stefan,cci,mlp,10.0,0.5,22.086916666666667,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · 위성제품 증강(r=10)
half,anchored,stefan,cci,mlp,10.0,0.75,23.25875,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · 위성제품 증강(r=10)
half,anchored,stefan,cci,mlp,10.0,1.0,25.584249999999997,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · 위성제품 증강(r=10)
half,anchored,stefan,cci,ridge,0.5,0.0,23.723,2,Stefan 앵커 + 선형 잔차(λ=0) · 위성제품 증강(r=0.5)
half,anchored,stefan,cci,ridge,0.5,0.25,22.771166666666666,2,Stefan 앵커 + 선형 잔차(λ=0.25) · 위성제품 증강(r=0.5)
half,anchored,stefan,cci,ridge,0.5,0.5,22.584833333333332,2,Stefan 앵커 + 선형 잔차(λ=0.5) · 위성제품 증강(r=0.5)
half,anchored,stefan,cci,ridge,0.5,0.75,23.18283333333333,2,Stefan 앵커 + 선형 잔차(λ=0.75) · 위성제품 증강(r=0.5)
half,anchored,stefan,cci,ridge,0.5,1.0,24.506333333333334,2,Stefan 앵커 + 선형 잔차(λ=1) · 위성제품 증강(r=0.5)
half,anchored,stefan,cci,ridge,1.0,0.0,23.723,2,Stefan 앵커 + 선형 잔차(λ=0) · 위성제품 증강(r=1)
half,anchored,stefan,cci,ridge,1.0,0.25,22.673833333333334,2,Stefan 앵커 + 선형 잔차(λ=0.25) · 위성제품 증강(r=1)
half,anchored,stefan,cci,ridge,1.0,0.5,22.535166666666665,2,Stefan 앵커 + 선형 잔차(λ=0.5) · 위성제품 증강(r=1)
