proto,target,seed,lam,family,anchor,pseudo,resid,r,rmse_cm,bias_cm,n,ci_lo,ci_hi,error
half,Lena,-1,0.0,analytic,cci_cal,none,none,0.0,15.559,5.617,1518,,,
half,Lena,0,1.0,direct,none,stefan,catboost,0.5,17.127,9.277,1518,14.81071137278243,26.09850473491189,
half,Lena,1,1.0,direct,none,stefan,catboost,0.5,17.209,9.339,1518,14.772005961299053,26.340088428794605,
half,Lena,2,1.0,direct,none,stefan,catboost,0.5,16.917,8.927,1518,14.574541344832904,23.98352594655063,
half,Lena,0,1.0,direct,none,stefan,catboost,10.0,16.541,8.324,1518,14.205063659854854,26.13114571762448,
half,Lena,1,1.0,direct,none,stefan,catboost,10.0,16.573,8.317,1518,14.211307200156597,26.483454173444915,
half,Lena,2,1.0,direct,none,stefan,catboost,10.0,16.532,8.265,1518,14.255763627835702,23.837229602495213,
half,Lena,0,1.0,direct,none,cci,catboost,5.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,1,1.0,direct,none,cci,catboost,5.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,2,1.0,direct,none,cci,catboost,5.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,0,1.0,direct,none,stefan_cci,catboost,2.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,1,1.0,direct,none,stefan_cci,catboost,2.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,2,1.0,direct,none,stefan_cci,catboost,2.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,0,1.0,direct,none,const,catboost,1.0,18.136,11.063,1518,15.699752361037866,26.211579526384895,
half,Lena,1,1.0,direct,none,const,catboost,1.0,18.109,11.128,1518,15.669080448305968,26.251932832326315,
half,Lena,2,1.0,direct,none,const,catboost,1.0,18.198,11.172,1518,15.84098136927684,24.343650940952745,
half,Lena,0,1.0,direct,none,none,mlp,0.0,,,1518,,,diverged
half,Lena,1,1.0,direct,none,none,mlp,0.0,,,1518,,,diverged
half,Lena,2,1.0,direct,none,none,mlp,0.0,,,1518,,,diverged
half,Lena,0,1.0,direct,none,stefan,mlp,5.0,16.654,8.361,1518,14.08460257390973,26.14317122473364,
half,Lena,1,1.0,direct,none,stefan,mlp,5.0,16.798,8.517,1518,14.227864988870719,26.556854452956916,
half,Lena,2,1.0,direct,none,stefan,mlp,5.0,16.576,8.256,1518,14.145430494071066,23.95954161740014,
half,Lena,0,1.0,direct,none,cci,mlp,2.0,,,1518,,,diverged
half,Lena,1,1.0,direct,none,cci,mlp,2.0,,,1518,,,diverged
