setting,region,seed,lam,n,family,anchor,resid,pseudo,r,rmse_cm,bias_cm,ci_lo,ci_hi,error
indomain,Alaska,-1,0.0,6803,analytic,cci,none,none,0.0,20.945,1.66,15.748526038612662,30.84926130387692,
indomain,Alaska,0,1.0,6803,model,none,mlp,none,0.0,18.977,6.664,17.033482620451647,21.583505320677176,
indomain,Alaska,1,1.0,6803,model,none,mlp,none,0.0,16.524,4.344,13.907227178014002,20.96949429409697,
indomain,Alaska,2,1.0,6803,model,none,mlp,none,0.0,18.525,4.885,16.015917288510373,21.962805968947887,
indomain,Alaska,0,0.0,6803,model,cci,ridge,none,0.0,20.945,1.66,15.748526038612662,30.84926130387692,
indomain,Alaska,0,0.25,6803,model,cci,ridge,none,0.0,19.109,2.57,14.569269604617011,27.21153693196365,
indomain,Alaska,0,0.5,6803,model,cci,ridge,none,0.0,17.717,3.479,13.91951765147477,24.35155173334279,
indomain,Alaska,0,0.75,6803,model,cci,ridge,none,0.0,16.881,4.388,13.539920553353271,21.774861884726594,
indomain,Alaska,0,1.0,6803,model,cci,ridge,none,0.0,16.684,5.297,13.865741226158503,20.41715826768356,
indomain,Alaska,1,0.0,6803,model,cci,ridge,none,0.0,20.945,1.66,15.678815413126097,32.6368444526404,
indomain,Alaska,1,0.25,6803,model,cci,ridge,none,0.0,19.109,2.57,14.532621106364683,28.892640203660694,
indomain,Alaska,1,0.5,6803,model,cci,ridge,none,0.0,17.717,3.479,13.980495412160755,25.634855066789484,
indomain,Alaska,1,0.75,6803,model,cci,ridge,none,0.0,16.881,4.388,13.809519225602267,22.85476771657386,
indomain,Alaska,1,1.0,6803,model,cci,ridge,none,0.0,16.684,5.297,14.031907738758129,21.08410811986944,
indomain,Alaska,2,0.0,6803,model,cci,ridge,none,0.0,20.945,1.66,15.9891999289701,32.11884178314847,
indomain,Alaska,2,0.25,6803,model,cci,ridge,none,0.0,19.109,2.57,15.022170193459472,28.27200264321307,
indomain,Alaska,2,0.5,6803,model,cci,ridge,none,0.0,17.717,3.479,14.191792770956646,25.125108949454994,
indomain,Alaska,2,0.75,6803,model,cci,ridge,none,0.0,16.881,4.388,13.908530943990067,22.967616530772922,
indomain,Alaska,2,1.0,6803,model,cci,ridge,none,0.0,16.684,5.297,14.081192597169613,21.289018008403925,
indomain,Alaska,0,0.0,6803,model,stefan_cci,catboost,none,0.0,18.335,4.733,14.652187465093332,25.6578468471697,
indomain,Alaska,0,0.25,6803,model,stefan_cci,catboost,none,0.0,17.606,4.116,14.136490002020961,23.68194111479861,
indomain,Alaska,0,0.5,6803,model,stefan_cci,catboost,none,0.0,17.083,3.499,13.620031797051656,22.57630967138696,
indomain,Alaska,0,0.75,6803,model,stefan_cci,catboost,none,0.0,16.786,2.883,13.371528954688342,21.77264335973315,
indomain,Alaska,0,1.0,6803,model,stefan_cci,catboost,none,0.0,16.726,2.266,13.186522184488128,21.387109405741445,
indomain,Alaska,1,0.0,6803,model,stefan_cci,catboost,none,0.0,18.335,4.733,14.551537172075614,26.569713804307096,
indomain,Alaska,1,0.25,6803,model,stefan_cci,catboost,none,0.0,17.584,3.958,14.076385121816685,24.673653503720516,
indomain,Alaska,1,0.5,6803,model,stefan_cci,catboost,none,0.0,17.064,3.184,13.713492368106902,23.07293205531231,
indomain,Alaska,1,0.75,6803,model,stefan_cci,catboost,none,0.0,16.797,2.41,13.579053157959006,22.29344596160909,
indomain,Alaska,1,1.0,6803,model,stefan_cci,catboost,none,0.0,16.795,1.636,13.692715630069396,21.9684450092801,
indomain,Alaska,2,0.0,6803,model,stefan_cci,catboost,none,0.0,18.335,4.733,14.89583574995743,26.328262398153623,
indomain,Alaska,2,0.25,6803,model,stefan_cci,catboost,none,0.0,17.648,4.273,14.288805029733822,24.72136880209003,
indomain,Alaska,2,0.5,6803,model,stefan_cci,catboost,none,0.0,17.181,3.814,13.77901151132903,23.41875256537448,
indomain,Alaska,2,0.75,6803,model,stefan_cci,catboost,none,0.0,16.95,3.355,13.608037063146671,22.38254566448285,
indomain,Alaska,2,1.0,6803,model,stefan_cci,catboost,none,0.0,16.967,2.896,13.74768852637522,21.764204536704714,
pseudo,Lena,0,1.0,1518,model,none,ridge,stefan,5.0,19.296,12.917,17.36542043719733,26.43796722241744,
pseudo,Lena,1,1.0,1518,model,none,ridge,stefan,5.0,19.303,12.931,17.28529407866054,25.836804650376695,
pseudo,Lena,2,1.0,1518,model,none,ridge,stefan,5.0,19.314,12.944,17.44277715245326,25.448588350401387,
pseudo,Lena,0,1.0,1518,model,none,ridge,cci,10.0,,,,,Input y contains NaN.
pseudo,Lena,1,1.0,1518,model,none,ridge,cci,10.0,,,,,Input y contains NaN.
pseudo,Lena,2,1.0,1518,model,none,ridge,cci,10.0,,,,,Input y contains NaN.
pseudo,Lena,0,1.0,1518,model,none,ridge,const,1.0,16.299,5.917,14.53676856002079,27.103906776599157,
pseudo,Lena,1,1.0,1518,model,none,ridge,const,1.0,16.271,5.907,14.452773392442321,24.51526923385882,
pseudo,Lena,2,1.0,1518,model,none,ridge,const,1.0,16.197,5.717,14.502464212394289,24.76967388383419,
pseudo,Lena,0,1.0,1518,model,none,catboost,stefan,1.0,19.605,13.337,17.254843567197213,26.60934694027755,
pseudo,Lena,1,1.0,1518,model,none,catboost,stefan,1.0,19.177,12.691,16.873953737151645,25.8504969780407,
pseudo,Lena,2,1.0,1518,model,none,catboost,stefan,1.0,19.588,13.202,17.286159861001035,26.162683447940314,
pseudo,Lena,0,1.0,1518,model,none,catboost,cci,5.0,,,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
pseudo,Lena,1,1.0,1518,model,none,catboost,cci,5.0,,,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
pseudo,Lena,2,1.0,1518,model,none,catboost,cci,5.0,,,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
pseudo,Lena,0,1.0,1518,model,none,catboost,stefan_cci,10.0,,,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
pseudo,Lena,1,1.0,1518,model,none,catboost,stefan_cci,10.0,,,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
pseudo,Lena,2,1.0,1518,model,none,catboost,stefan_cci,10.0,,,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
pseudo,Lena,0,1.0,1518,model,none,mlp,cci,1.0,,,,,diverged
pseudo,Lena,1,1.0,1518,model,none,mlp,cci,1.0,,,,,diverged
pseudo,Lena,2,1.0,1518,model,none,mlp,cci,1.0,,,,,diverged
pseudo,Lena,0,1.0,1518,model,none,mlp,stefan_cci,5.0,,,,,diverged
pseudo,Lena,1,1.0,1518,model,none,mlp,stefan_cci,5.0,,,,,diverged
pseudo,Lena,2,1.0,1518,model,none,mlp,stefan_cci,5.0,,,,,diverged
pseudo,Lena,0,1.0,1518,model,none,mlp,const,10.0,14.707,3.145,12.158418581377632,27.19412782785171,
pseudo,Lena,1,1.0,1518,model,none,mlp,const,10.0,14.772,3.312,12.315324750873794,24.731074022243774,
pseudo,Lena,2,1.0,1518,model,none,mlp,const,10.0,14.672,3.093,12.30988276249164,24.720863489892537,
pseudo,Lena,0,0.0,1518,model,stefan,ridge,stefan,10.0,18.548,11.705,16.241707210329377,26.44619284415228,
pseudo,Lena,0,0.25,1518,model,stefan,ridge,stefan,10.0,18.685,11.938,16.443163457631623,26.444664703626103,
pseudo,Lena,0,0.5,1518,model,stefan,ridge,stefan,10.0,18.827,12.171,16.64970582617604,26.441007887033088,
pseudo,Lena,0,0.75,1518,model,stefan,ridge,stefan,10.0,18.972,12.404,16.856482632870826,26.44082814142068,
pseudo,Lena,0,1.0,1518,model,stefan,ridge,stefan,10.0,19.121,12.637,17.066100622021043,26.442836298530313,
pseudo,Lena,1,0.0,1518,model,stefan,ridge,stefan,10.0,18.548,11.705,16.08377859260714,25.871935510091735,
pseudo,Lena,1,0.25,1518,model,stefan,ridge,stefan,10.0,18.684,11.938,16.293877988644347,25.84558323718595,
pseudo,Lena,1,0.5,1518,model,stefan,ridge,stefan,10.0,18.825,12.171,16.506453538365815,25.84057601668549,
pseudo,Lena,1,0.75,1518,model,stefan,ridge,stefan,10.0,18.969,12.404,16.726566034630377,25.844935643949867,
pseudo,Lena,1,1.0,1518,model,stefan,ridge,stefan,10.0,19.117,12.636,16.95149326000072,25.851752228688355,
pseudo,Lena,2,0.0,1518,model,stefan,ridge,stefan,10.0,18.548,11.705,16.277760661947624,25.419895252173298,
pseudo,Lena,2,0.25,1518,model,stefan,ridge,stefan,10.0,18.686,11.939,16.474375874568487,25.42854029181026,
pseudo,Lena,2,0.5,1518,model,stefan,ridge,stefan,10.0,18.828,12.173,16.680724707362334,25.43861037076876,
pseudo,Lena,2,0.75,1518,model,stefan,ridge,stefan,10.0,18.973,12.407,16.89487333103055,25.45010390998092,
pseudo,Lena,2,1.0,1518,model,stefan,ridge,stefan,10.0,19.123,12.641,17.11360557169243,25.463019003140392,
pseudo,Lena,0,0.0,1518,model,stefan,ridge,stefan_cci,1.0,18.548,11.705,16.241707210329377,26.44619284415228,
pseudo,Lena,0,0.25,1518,model,stefan,ridge,stefan_cci,1.0,17.792,10.275,15.793834450279578,26.331681897076663,
pseudo,Lena,0,0.5,1518,model,stefan,ridge,stefan_cci,1.0,17.179,8.846,15.35417387264912,26.281537281995305,
pseudo,Lena,0,0.75,1518,model,stefan,ridge,stefan_cci,1.0,16.725,7.416,15.00854903458423,26.551993200950996,
pseudo,Lena,0,1.0,1518,model,stefan,ridge,stefan_cci,1.0,16.443,5.986,14.78336842969086,27.060284777969727,
pseudo,Lena,1,0.0,1518,model,stefan,ridge,stefan_cci,1.0,18.548,11.705,16.08377859260714,25.871935510091735,
pseudo,Lena,1,0.25,1518,model,stefan,ridge,stefan_cci,1.0,17.786,10.273,15.614928954148922,25.374446993928853,
pseudo,Lena,1,0.5,1518,model,stefan,ridge,stefan_cci,1.0,17.167,8.84,15.26426428621714,24.814320783016594,
pseudo,Lena,1,0.75,1518,model,stefan,ridge,stefan_cci,1.0,16.706,7.407,14.947190894016511,24.413587752630622,
pseudo,Lena,1,1.0,1518,model,stefan,ridge,stefan_cci,1.0,16.416,5.975,14.677886956549246,24.579370874990698,
pseudo,Lena,2,0.0,1518,model,stefan,ridge,stefan_cci,1.0,18.548,11.705,16.277760661947624,25.419895252173298,
pseudo,Lena,2,0.25,1518,model,stefan,ridge,stefan_cci,1.0,17.746,10.208,15.754104768204408,24.615564411507247,
pseudo,Lena,2,0.5,1518,model,stefan,ridge,stefan_cci,1.0,17.095,8.71,15.289717302230676,23.837909963172038,
pseudo,Lena,2,0.75,1518,model,stefan,ridge,stefan_cci,1.0,16.61,7.213,14.967872824089264,24.173762324189564,
pseudo,Lena,2,1.0,1518,model,stefan,ridge,stefan_cci,1.0,16.307,5.716,14.688693261391736,24.813835163437982,
pseudo,Lena,0,0.0,1518,model,stefan,ridge,const,5.0,18.548,11.705,16.241707210329377,26.44619284415228,
pseudo,Lena,0,0.25,1518,model,stefan,ridge,const,5.0,17.341,9.735,15.159055284962388,26.384224943838923,
pseudo,Lena,0,0.5,1518,model,stefan,ridge,const,5.0,16.296,7.764,14.152863529322055,26.404919210796596,
pseudo,Lena,0,0.75,1518,model,stefan,ridge,const,5.0,15.443,5.794,13.237411730955579,26.66591302453041,
pseudo,Lena,0,1.0,1518,model,stefan,ridge,const,5.0,14.818,3.823,12.571287799215828,27.15820447015004,
pseudo,Lena,1,0.0,1518,model,stefan,ridge,const,5.0,18.548,11.705,16.08377859260714,25.871935510091735,
pseudo,Lena,1,0.25,1518,model,stefan,ridge,const,5.0,17.34,9.735,14.993495706892737,25.32503767534624,
pseudo,Lena,1,0.5,1518,model,stefan,ridge,const,5.0,16.294,7.764,14.074189851437584,24.78149480568288,
pseudo,Lena,1,0.75,1518,model,stefan,ridge,const,5.0,15.441,5.794,13.270387628084668,24.45662901072377,
pseudo,Lena,1,1.0,1518,model,stefan,ridge,const,5.0,14.815,3.823,12.609247247091858,24.724106397273484,
pseudo,Lena,2,0.0,1518,model,stefan,ridge,const,5.0,18.548,11.705,16.277760661947624,25.419895252173298,
pseudo,Lena,2,0.25,1518,model,stefan,ridge,const,5.0,17.347,9.743,15.19913003814655,24.46999972461951,
pseudo,Lena,2,0.5,1518,model,stefan,ridge,const,5.0,16.305,7.782,14.228509935372625,23.930342199787237,
