featset,model,seed,axis,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,anom_corr,n_multi
-,stefan,-1,temporal,99931,14.967,11.23,-2.457,0.338,18.395,0.1864,,,,
-,stefan,-1,anomaly,5690,11.719,7.393,-0.0,-0.0064,11.682,-0.0032,,,0.05853922568090003,5690.0
year9,histgbm,0,temporal,99931,19.187,15.759,-3.553,-0.0879,18.395,-0.043,,,,
year9,histgbm,1,temporal,99931,16.989,13.155,-4.672,0.1471,18.395,0.0765,,,,
year9,histgbm,2,temporal,99931,18.011,14.476,-2.599,0.0414,18.395,0.0209,,,,
year9,histgbm,-1,temporal,99931,17.851,14.321,-3.608,0.0583,18.395,0.0296,,,,
year9,histgbm,-1,anomaly,5690,15.591,11.673,0.0,-0.7813,11.682,-0.3346,,,-0.0944192513135441,5690.0
year9,mlp,0,temporal,99931,15.792,12.052,-4.413,0.263,18.395,0.1415,,,,
year9,mlp,1,temporal,99931,18.288,14.806,-8.422,0.0117,18.395,0.0059,,,,
year9,mlp,2,temporal,99931,16.439,12.67,-6.407,0.2014,18.395,0.1063,,,,
year9,mlp,-1,temporal,99931,16.455,12.797,-6.414,0.1999,18.395,0.1055,,,,
year9,mlp,-1,anomaly,5690,13.654,9.323,0.0,-0.3662,11.682,-0.1688,,,-0.040610384685047594,5690.0
year9,catboost,0,temporal,99931,14.276,10.476,-1.956,0.3977,18.395,0.2239,,,,
year9,catboost,1,temporal,99931,14.236,10.389,-2.236,0.4011,18.395,0.2261,,,,
year9,catboost,2,temporal,99931,14.279,10.421,-2.19,0.3975,18.395,0.2238,,,,
year9,catboost,-1,temporal,99931,14.241,10.41,-2.127,0.4007,18.395,0.2259,,,,
year9,catboost,-1,anomaly,5690,12.995,8.888,-0.0,-0.2375,11.682,-0.1124,,,-0.06147382873964478,5690.0
year9,resid_lam0.25,-1,temporal,99931,14.972,11.29,-1.847,0.3376,18.395,0.1861,,,,
year9,resid_lam0.25,-1,anomaly,5690,11.673,7.406,-0.0,0.0015,11.682,0.0007,,,0.099212231885228,5690.0
year9,resid_lam0.5,-1,temporal,99931,15.191,11.525,-1.237,0.318,18.395,0.1742,,,,
year9,resid_lam0.5,-1,anomaly,5690,11.675,7.473,-0.0,0.0012,11.682,0.0006,,,0.12085619758985446,5690.0
year9,resid_lam0.75,-1,temporal,99931,15.616,11.915,-0.626,0.2794,18.395,0.1511,,,,
year9,resid_lam0.75,-1,anomaly,5690,11.724,7.592,-0.0,-0.0073,11.682,-0.0036,,,0.13225057301897686,5690.0
year9,resid_lam1,-1,temporal,99931,16.229,12.44,-0.016,0.2216,18.395,0.1178,,,,
year9,resid_lam1,-1,anomaly,5690,11.82,7.757,-0.0,-0.0238,11.682,-0.0119,,,0.13861996991767006,5690.0
year+soil,histgbm,0,temporal,99931,17.067,12.85,-5.473,0.1392,18.395,0.0722,,,,
year+soil,histgbm,1,temporal,99931,16.251,11.859,-4.434,0.2196,18.395,0.1166,,,,
year+soil,histgbm,2,temporal,99931,16.671,12.347,-5.179,0.1787,18.395,0.0938,,,,
year+soil,histgbm,-1,temporal,99931,16.563,12.272,-5.029,0.1893,18.395,0.0996,,,,
year+soil,histgbm,-1,anomaly,5690,14.959,10.409,0.0,-0.6398,11.682,-0.2806,,,-0.13846649866144536,5690.0
year+soil,mlp,0,temporal,99931,17.592,13.639,-7.262,0.0855,18.395,0.0437,,,,
year+soil,mlp,1,temporal,99931,16.416,12.62,-6.718,0.2037,18.395,0.1076,,,,
year+soil,mlp,2,temporal,99931,15.632,11.987,-6.338,0.2779,18.395,0.1502,,,,
year+soil,mlp,-1,temporal,99931,16.261,12.554,-6.772,0.2186,18.395,0.116,,,,
year+soil,mlp,-1,anomaly,5690,13.043,8.777,-0.0,-0.2467,11.682,-0.1165,,,-0.04317312011652497,5690.0
year+soil,catboost,0,temporal,99931,15.036,11.192,-4.934,0.3319,18.395,0.1826,,,,
year+soil,catboost,1,temporal,99931,14.888,11.079,-4.799,0.345,18.395,0.1907,,,,
year+soil,catboost,2,temporal,99931,15.175,11.301,-5.393,0.3195,18.395,0.175,,,,
year+soil,catboost,-1,temporal,99931,15.014,11.177,-5.042,0.3338,18.395,0.1838,,,,
year+soil,catboost,-1,anomaly,5690,12.905,8.735,-0.0,-0.2205,11.682,-0.1048,,,-0.17716154388361047,5690.0
year+soil,resid_lam0.25,-1,temporal,99931,14.434,10.815,-1.603,0.3843,18.395,0.2153,,,,
year+soil,resid_lam0.25,-1,anomaly,5690,11.684,7.312,-0.0,-0.0005,11.682,-0.0002,,,0.07457578200945104,5690.0
year+soil,resid_lam0.5,-1,temporal,99931,14.128,10.586,-0.75,0.4102,18.395,0.232,,,,
year+soil,resid_lam0.5,-1,anomaly,5690,11.723,7.315,-0.0,-0.0071,11.682,-0.0036,,,0.07303824948122514,5690.0
year+soil,resid_lam0.75,-1,temporal,99931,14.063,10.543,0.104,0.4156,18.395,0.2355,,,,
