cv,model,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,region
spatial_block_AK,histgbm,0,13606,17.092,13.275,5.236,0.0331,17.382,0.0167,,,
spatial_block_AK,histgbm,1,13606,18.32,14.484,5.604,-0.1108,17.382,-0.0539,,,
spatial_block_AK,histgbm,2,13606,16.911,13.181,4.789,0.0534,17.382,0.0271,,,
spatial_block_AK,mlp,0,13606,14.897,10.901,1.319,0.2655,17.382,0.1429,,,
spatial_block_AK,mlp,1,13606,14.299,10.238,0.109,0.3233,17.382,0.1774,,,
spatial_block_AK,mlp,2,13606,14.793,10.885,2.916,0.2757,17.382,0.149,,,
spatial_block_AK,ftt,0,13606,17.711,13.769,4.137,-0.0382,17.382,-0.0189,,,
spatial_block_AK,ftt,1,13606,20.418,16.073,6.158,-0.3799,17.382,-0.1747,,,
spatial_block_AK,ftt,2,13606,18.112,14.211,3.568,-0.0858,17.382,-0.042,,,
spatial_block_AK,tabm,0,13606,16.167,12.114,3.506,0.135,17.382,0.0699,,,
spatial_block_AK,tabm,1,13606,14.667,10.662,-1.285,0.288,17.382,0.1562,,,
spatial_block_AK,tabm,2,13606,14.268,10.2,0.562,0.3262,17.382,0.1792,,,
spatial_block_AK,lightgbm,0,13606,16.776,12.818,4.156,0.0685,17.382,0.0349,,,
spatial_block_AK,lightgbm,1,13606,16.286,12.353,3.579,0.1221,17.382,0.0631,,,
spatial_block_AK,lightgbm,2,13606,16.524,12.626,3.927,0.0963,17.382,0.0494,,,
spatial_block_AK,xgboost,0,13606,16.277,12.318,4.087,0.1231,17.382,0.0636,,,
spatial_block_AK,xgboost,1,13606,16.346,12.397,3.551,0.1157,17.382,0.0596,,,
spatial_block_AK,xgboost,2,13606,16.098,12.165,3.327,0.1423,17.382,0.0739,,,
spatial_block_AK,catboost,0,13606,15.552,11.663,2.39,0.1994,17.382,0.1053,,,
spatial_block_AK,catboost,1,13606,15.953,12.009,2.397,0.1577,17.382,0.0822,,,
spatial_block_AK,catboost,2,13606,15.473,11.524,2.018,0.2076,17.382,0.1098,,,
LORO,histgbm,0,726,47.262,33.569,27.915,-1.4517,30.184,-0.5658,,,ABoVE_CA
LORO,histgbm,0,13542,20.184,14.666,8.634,-0.3489,17.379,-0.1614,,,ABoVE_AK
