target,model,phys,r,seed,rmse_cm,mae_cm,bias_cm,skill,delta_rmse_vs_base
Lena,catboost,stefan,0.0,0,21.978,19.544,16.525,-0.5303146336135713,
Lena,catboost,stefan,0.0,1,22.495,19.797,16.795,-0.5663134132846019,
Lena,catboost,stefan,0.0,2,21.264,18.521,15.281,-0.48055802275188775,
Lena,catboost,stefan,0.25,0,17.242,14.382,9.439,-0.20054258835414407,
Lena,catboost,stefan,0.25,1,17.41,14.587,9.677,-0.2122500232349782,
Lena,catboost,stefan,0.25,2,17.106,14.198,9.093,-0.19103664968568523,
Lena,catboost,stefan,0.5,0,17.127,14.277,9.277,-0.19250881060241865,
Lena,catboost,stefan,0.5,1,17.209,14.354,9.339,-0.1982103014747536,
Lena,catboost,stefan,0.5,2,16.917,13.997,8.927,-0.17791323804985715,
Lena,catboost,stefan,1.0,0,17.023,14.127,9.089,-0.18526646556589355,
Lena,catboost,stefan,1.0,1,17.042,14.163,9.116,-0.18660028437168763,
Lena,catboost,stefan,1.0,2,16.967,14.034,8.856,-0.18139806975077732,
Lena,catboost,stefan,2.0,0,16.799,13.885,8.759,-0.16970007524118413,
Lena,catboost,stefan,2.0,1,16.787,13.856,8.654,-0.16887069518962528,
Lena,catboost,stefan,2.0,2,16.751,13.806,8.636,-0.16631189022277826,
Lena,catboost,stefan,5.0,0,16.583,13.62,8.422,-0.1546323175732469,
Lena,catboost,stefan,5.0,1,16.575,13.61,8.415,-0.15409846993041376,
Lena,catboost,stefan,5.0,2,16.632,13.656,8.411,-0.15807871755976421,
Lena,catboost,stefan,10.0,0,16.541,13.577,8.324,-0.1516847597031883,
Lena,catboost,stefan,10.0,1,16.573,13.597,8.317,-0.15394445738793405,
Lena,catboost,stefan,10.0,2,16.532,13.565,8.265,-0.15110418310151053,
Lena,catboost,kudryavtsev,0.0,0,21.978,19.544,16.525,-0.5303146336135713,
Lena,catboost,kudryavtsev,0.0,1,22.495,19.797,16.795,-0.5663134132846019,
Lena,catboost,kudryavtsev,0.0,2,21.264,18.521,15.281,-0.48055802275188775,
Lena,catboost,kudryavtsev,0.25,0,31.88,29.521,27.545,-1.2197631680281087,
Lena,catboost,kudryavtsev,0.25,1,31.506,29.153,27.169,-1.193724550735772,
Lena,catboost,kudryavtsev,0.25,2,31.21,28.865,26.919,-1.1731207162885426,
Lena,catboost,kudryavtsev,0.5,0,31.799,29.448,27.45,-1.2141146808579801,
Lena,catboost,kudryavtsev,0.5,1,31.465,29.12,27.108,-1.1908794292847649,
Lena,catboost,kudryavtsev,0.5,2,31.639,29.318,27.289,-1.2029824230739394,
Lena,catboost,kudryavtsev,1.0,0,31.793,29.411,27.318,-1.2136938848863323,
Lena,catboost,kudryavtsev,1.0,1,31.906,29.517,27.454,-1.2215691827078916,
Lena,catboost,kudryavtsev,1.0,2,31.417,29.056,27.006,-1.1875290542229684,
Lena,catboost,kudryavtsev,2.0,0,31.902,29.475,27.349,-1.221274867518304,
Lena,catboost,kudryavtsev,2.0,1,31.757,29.346,27.175,-1.211197975581635,
Lena,catboost,kudryavtsev,2.0,2,31.787,29.392,27.19,-1.213270394409085,
Lena,catboost,kudryavtsev,5.0,0,31.803,29.383,27.12,-1.2143524552927532,
Lena,catboost,kudryavtsev,5.0,1,31.783,29.359,27.202,-1.21298579168936,
Lena,catboost,kudryavtsev,5.0,2,31.87,29.441,27.162,-1.219036187963479,
Lena,catboost,kudryavtsev,10.0,0,31.707,29.28,27.112,-1.2076657119590215,
Lena,catboost,kudryavtsev,10.0,1,31.909,29.499,27.37,-1.2217461384730597,
Lena,catboost,kudryavtsev,10.0,2,31.501,29.087,26.887,-1.193332883760824,
Lena,catboost,placebo,0.0,0,21.978,19.544,16.525,-0.5303146336135713,
Lena,catboost,placebo,0.0,1,22.495,19.797,16.795,-0.5663134132846019,
Lena,catboost,placebo,0.0,2,21.264,18.521,15.281,-0.48055802275188775,
Lena,catboost,placebo,0.25,0,18.187,15.469,11.124,-0.26635576574805664,
Lena,catboost,placebo,0.25,1,18.031,15.307,10.927,-0.2554456129132414,
Lena,catboost,placebo,0.25,2,18.049,15.299,10.864,-0.2567492088446208,
Lena,catboost,placebo,0.5,0,18.111,15.392,11.023,-0.26106371177753496,
Lena,catboost,placebo,0.5,1,18.181,15.479,11.103,-0.26592481060582274,
Lena,catboost,placebo,0.5,2,18.129,15.402,10.999,-0.26230150200289537,
Lena,catboost,placebo,1.0,0,18.136,15.428,11.063,-0.26276512613554504,
Lena,catboost,placebo,1.0,1,18.109,15.414,11.128,-0.2608848801105639,
Lena,catboost,placebo,1.0,2,18.198,15.493,11.172,-0.267111479461251,
Lena,catboost,placebo,2.0,0,18.212,15.526,11.174,-0.2680766034749522,
Lena,catboost,placebo,2.0,1,18.201,15.519,11.226,-0.2672811043691612,
Lena,catboost,placebo,2.0,2,18.212,15.517,11.239,-0.268071909567714,
Lena,catboost,placebo,5.0,0,18.195,15.493,11.142,-0.26688966184800655,
Lena,catboost,placebo,5.0,1,18.201,15.519,11.219,-0.2673025348215885,
Lena,catboost,placebo,5.0,2,18.192,15.5,11.152,-0.26664097149325205,
Lena,catboost,placebo,10.0,0,18.172,15.477,11.201,-0.2652744065242485,
Lena,catboost,placebo,10.0,1,18.242,15.55,11.289,-0.2701486275101228,
Lena,catboost,placebo,10.0,2,18.184,15.508,11.245,-0.26608390697833917,
Lena,catboost,stefan,0.25,SUMMARY,17.252666666666666,,,,4.65966666666667
Lena,catboost,stefan,0.5,SUMMARY,17.084333333333333,,,,4.828000000000003
Lena,catboost,stefan,1.0,SUMMARY,17.010666666666665,,,,4.901666666666671
Lena,catboost,stefan,2.0,SUMMARY,16.779,,,,5.133333333333336
Lena,catboost,stefan,5.0,SUMMARY,16.596666666666668,,,,5.315666666666669
Lena,catboost,stefan,10.0,SUMMARY,16.548666666666666,,,,5.363666666666671
Lena,catboost,kudryavtsev,0.25,SUMMARY,31.532,,,,-9.619666666666664
Lena,catboost,kudryavtsev,0.5,SUMMARY,31.63433333333333,,,,-9.721999999999994
Lena,catboost,kudryavtsev,1.0,SUMMARY,31.705333333333332,,,,-9.792999999999996
Lena,catboost,kudryavtsev,2.0,SUMMARY,31.81533333333333,,,,-9.902999999999995
Lena,catboost,kudryavtsev,5.0,SUMMARY,31.81866666666667,,,,-9.906333333333333
Lena,catboost,kudryavtsev,10.0,SUMMARY,31.70566666666667,,,,-9.793333333333333
Lena,catboost,placebo,0.25,SUMMARY,18.089000000000002,,,,3.823333333333334
Lena,catboost,placebo,0.5,SUMMARY,18.140333333333334,,,,3.772000000000002
Lena,catboost,placebo,1.0,SUMMARY,18.14766666666667,,,,3.764666666666667
Lena,catboost,placebo,2.0,SUMMARY,18.208333333333332,,,,3.704000000000004
Lena,catboost,placebo,5.0,SUMMARY,18.196,,,,3.716333333333335
Lena,catboost,placebo,10.0,SUMMARY,18.199333333333332,,,,3.7130000000000045
Lena,mlp,stefan,0.0,0,38410.628,4638.65,-4616.091,-2673.457928699563,
Lena,mlp,stefan,0.0,1,39672.292,4797.268,4793.951,-2761.3051363269274,
Lena,mlp,stefan,0.0,2,31728.042,3832.519,3825.552,-2208.1623600336193,
Lena,mlp,stefan,0.25,0,16.869,13.889,8.744,-0.17452811736677942,
Lena,mlp,stefan,0.25,1,17.319,14.498,9.859,-0.2058900590295374,
Lena,mlp,stefan,0.25,2,17.459,14.575,9.529,-0.2156465314662288,
Lena,mlp,stefan,0.5,0,17.195,14.291,9.234,-0.19725052982593838,
Lena,mlp,stefan,0.5,1,17.189,14.342,9.508,-0.1968354793897511,
Lena,mlp,stefan,0.5,2,17.091,14.2,9.108,-0.190035994606226,
Lena,mlp,stefan,1.0,0,16.818,13.877,8.66,-0.17100539519723212,
Lena,mlp,stefan,1.0,1,16.996,14.084,8.972,-0.18339784695017958,
Lena,mlp,stefan,1.0,2,16.978,14.052,8.881,-0.18211406882091885,
Lena,mlp,stefan,2.0,0,16.706,13.716,8.456,-0.1631726424435893,
Lena,mlp,stefan,2.0,1,16.754,13.8,8.611,-0.1665782017444808,
Lena,mlp,stefan,2.0,2,16.803,13.861,8.743,-0.16995349440185437,
Lena,mlp,stefan,5.0,0,16.654,13.63,8.361,-0.1595816162140693,
Lena,mlp,stefan,5.0,1,16.798,13.834,8.517,-0.16963304625561726,
Lena,mlp,stefan,5.0,2,16.576,13.556,8.256,-0.15416218656597458,
Lena,mlp,stefan,10.0,0,16.493,13.43,8.066,-0.14840007883567474,
Lena,mlp,stefan,10.0,1,16.666,13.673,8.393,-0.16041261539249274,
Lena,mlp,stefan,10.0,2,16.528,13.509,8.151,-0.150783820741748,
Lena,mlp,kudryavtsev,0.0,0,38410.628,4638.65,-4616.091,-2673.457928699563,
Lena,mlp,kudryavtsev,0.0,1,39672.292,4797.268,4793.951,-2761.3051363269274,
Lena,mlp,kudryavtsev,0.0,2,31728.042,3832.519,3825.552,-2208.1623600336193,
Lena,mlp,kudryavtsev,0.25,0,32.106,29.681,27.81,-1.235469163368216,
Lena,mlp,kudryavtsev,0.25,1,31.411,29.063,27.199,-1.1870689519709967,
