target,model,phys,r,seed,rmse_cm,mae_cm,bias_cm,skill,delta_rmse_vs_base
Lena,ftt,stefan,0.0,0,14.692,10.582,1.978,-0.02297521178031614,
Lena,ftt,stefan,0.0,1,14.029,9.343,-1.586,0.023167300090758514,
Lena,ftt,stefan,0.0,2,14.829,10.718,0.993,-0.03254333327217496,
Lena,ftt,stefan,0.25,0,17.172,14.294,8.925,-0.19566831153977748,
Lena,ftt,stefan,0.25,1,16.6,13.689,8.246,-0.15582792466918027,
Lena,ftt,stefan,0.25,2,16.651,13.696,8.213,-0.15938249563106677,
Lena,ftt,stefan,0.5,0,16.932,14.033,8.676,-0.17895173730239144,
Lena,ftt,stefan,0.5,1,17.248,14.426,9.44,-0.20097229220126245,
Lena,ftt,stefan,0.5,2,17.157,14.278,8.954,-0.19461249947634873,
Lena,ftt,stefan,1.0,0,17.152,14.308,9.149,-0.19425739790779462,
Lena,ftt,stefan,1.0,1,16.859,13.967,8.717,-0.17386896289717324,
Lena,ftt,stefan,1.0,2,17.0,14.117,8.93,-0.18366456109184948,
Lena,ftt,stefan,2.0,0,16.83,13.924,8.731,-0.17181154382751296,
Lena,ftt,stefan,2.0,1,16.914,14.041,8.91,-0.17769849885243771,
Lena,ftt,stefan,2.0,2,16.938,14.051,8.906,-0.17938739517493896,
Lena,ftt,stefan,5.0,0,16.479,13.477,7.995,-0.14738218952330673,
Lena,ftt,stefan,5.0,1,16.416,13.411,7.929,-0.14301402141010677,
Lena,ftt,stefan,5.0,2,16.497,13.507,8.044,-0.14863672239116532,
Lena,ftt,stefan,10.0,0,16.499,13.505,8.028,-0.14882062236321025,
Lena,ftt,stefan,10.0,1,16.468,13.461,7.941,-0.1466018608801254,
Lena,ftt,stefan,10.0,2,16.563,13.576,8.126,-0.1532349669155053,
Lena,ftt,kudryavtsev,0.0,0,14.692,10.582,1.978,-0.02297521178031614,
Lena,ftt,kudryavtsev,0.0,1,14.029,9.343,-1.586,0.023167300090758514,
Lena,ftt,kudryavtsev,0.0,2,14.829,10.718,0.993,-0.03254333327217496,
Lena,ftt,kudryavtsev,0.25,0,31.53,29.115,26.227,-1.1954049932802926,
Lena,ftt,kudryavtsev,0.25,1,30.929,28.591,26.276,-1.15352282216088,
