part,cv,region,model,featset,lam,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi
A_loro,LORO,Canada,ridge,shift14,0.0,0.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,ridge,shift14,0.25,0.0,742.0,27.556,21.154,-0.355,0.2035,30.877,0.1075,,,,,
A_loro,LORO,Canada,ridge,shift14,0.5,0.0,742.0,27.752,20.992,-1.983,0.1922,30.877,0.1012,,,,,
A_loro,LORO,Canada,ridge,shift14,0.75,0.0,742.0,28.053,20.911,-3.611,0.1746,30.877,0.0915,,,,,
A_loro,LORO,Canada,ridge,shift14,1.0,0.0,742.0,28.456,20.891,-5.239,0.1507,30.877,0.0784,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.0,0.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.25,0.0,742.0,26.402,20.583,0.822,0.2689,30.877,0.1449,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.5,0.0,742.0,25.443,19.849,0.37,0.321,30.877,0.176,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.75,0.0,742.0,24.606,19.201,-0.081,0.3649,30.877,0.2031,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,1.0,0.0,742.0,23.904,18.641,-0.533,0.4007,30.877,0.2258,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.0,1.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.25,1.0,742.0,26.581,20.712,0.72,0.2589,30.877,0.1391,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.5,1.0,742.0,25.78,20.076,0.166,0.3029,30.877,0.1651,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.75,1.0,742.0,25.074,19.513,-0.387,0.3406,30.877,0.1879,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,1.0,1.0,742.0,24.472,19.003,-0.94,0.3719,30.877,0.2074,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.0,2.0,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.25,2.0,742.0,26.665,20.835,0.912,0.2542,30.877,0.1364,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.5,2.0,742.0,25.946,20.307,0.551,0.2939,30.877,0.1597,,,,,
A_loro,LORO,Canada,catboost_lo,shift14,0.75,2.0,742.0,25.321,19.84,0.191,0.3275,30.877,0.1799,,,,,
