axis,region,method,seed,E_train,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi,source,b_learned_cm,sig_learned_te_cm,b_emp_train_cm,sig_emp_train_cm,b_emp_test_cm,sig_emp_test_cm,axis_kind
LORO,Canada,stefan_anchor,0,1.5944,742.0,27.469,21.408,1.273,0.2085,30.877,0.1104,,,,,,,,,,,,,
LORO,Canada,direct_catboost,0,1.5944,742.0,26.035,21.451,11.785,0.2891,30.877,0.1568,0.4299,48.939,,,,,,,,,,,
LORO,Canada,direct_mlp,0,1.5944,742.0,27.787,22.466,7.675,0.1901,30.877,0.1001,,,,,,,,,,,,,
LORO,Canada,physfeat_catboost,0,1.5944,742.0,26.813,21.952,11.328,0.2459,30.877,0.1316,0.407,45.07,,,,,,,,,,,
LORO,Canada,pool_catboost,0,1.5944,742.0,26.194,20.415,5.807,0.2803,30.877,0.1517,0.248,21.401,,,,,,,,,,,
LORO,Canada,pool_mlp,0,1.5944,742.0,25.648,20.015,5.169,0.31,30.877,0.1694,,,,,,,,,,,,,
LORO,Canada,fixaug_catboost,0,1.5944,742.0,27.532,21.469,1.252,0.2049,30.877,0.1083,0.066,5.138,,,,,,,,,,,
LORO,Canada,sa_z,0,1.5944,742.0,27.118,20.896,-0.982,0.2287,30.877,0.1217,0.996,396.191,,,,,,,,,,,
LORO,Canada,sa_fusion,0,1.5944,742.0,27.173,21.141,0.732,0.2255,30.877,0.12,0.1577,12.656,,,,,,,,,,,
LORO,Canada,direct_catboost,1,1.5944,742.0,27.234,22.524,14.449,0.222,30.877,0.118,0.3235,30.713,,,,,,,,,,,
LORO,Canada,direct_mlp,1,1.5944,742.0,26.359,21.196,8.575,0.2713,30.877,0.1463,,,,,,,,,,,,,
LORO,Canada,physfeat_catboost,1,1.5944,742.0,25.326,20.571,9.685,0.3272,30.877,0.1798,0.341,42.832,,,,,,,,,,,
LORO,Canada,pool_catboost,1,1.5944,742.0,26.212,20.426,5.775,0.2793,30.877,0.1511,0.2642,21.819,,,,,,,,,,,
LORO,Canada,pool_mlp,1,1.5944,742.0,25.764,20.083,4.942,0.3038,30.877,0.1656,,,,,,,,,,,,,
LORO,Canada,fixaug_catboost,1,1.5944,742.0,27.519,21.459,1.266,0.2057,30.877,0.1087,0.0606,5.047,,,,,,,,,,,
LORO,Canada,sa_z,1,1.5944,742.0,28.117,20.601,-5.444,0.1708,30.877,0.0894,0.9933,209.037,,,,,,,,,,,
LORO,Canada,sa_fusion,1,1.5944,742.0,26.529,20.397,0.569,0.2618,30.877,0.1408,0.5593,41.683,,,,,,,,,,,
LORO,Canada,direct_catboost,2,1.5944,742.0,25.477,20.843,8.724,0.3192,30.877,0.1749,0.3383,33.961,,,,,,,,,,,
LORO,Canada,direct_mlp,2,1.5944,742.0,32.51,25.295,14.506,-0.1086,30.877,-0.0529,,,,,,,,,,,,,
