site_key,profile,deployment,year,alt_cm,right_censored,alt_lo,alt_hi,coverage,peak_day,n_days,peak_days,depth_max_cm,n_layers,depth_reversed,obs_start,obs_end
ID02_A,ID02,A,2023,80.0,1,80.0,inf,peak_tail,2023-09-01,61,10,80.0,8,1,2023-09-01,2023-10-31
ID02_A,ID02,A,2024,80.0,1,80.0,inf,partial_end,2024-05-04,115,40,80.0,8,1,2024-05-01,2024-08-23
ID03_A,ID03,A,2023,80.0,1,80.0,inf,peak_tail,2023-09-01,61,10,80.0,8,1,2023-09-01,2023-10-31
ID03_A,ID03,A,2024,80.0,1,80.0,inf,partial_end,2024-05-01,118,43,80.0,8,1,2024-05-01,2024-09-01
ID04_A,ID04,A,2023,80.0,1,80.0,inf,peak_tail,2023-09-01,61,10,80.0,8,1,2023-09-01,2023-10-31
ID04_A,ID04,A,2024,80.0,1,80.0,inf,partial_end,2024-05-01,118,43,80.0,8,1,2024-05-01,2024-09-01
ID05_A,ID05,A,2023,80.0,1,80.0,inf,peak_tail,2023-09-01,61,10,80.0,8,1,2023-09-01,2023-10-31
ID05_A,ID05,A,2024,80.0,1,80.0,inf,partial_end,2024-05-01,107,32,80.0,8,1,2024-05-01,2024-08-15
ID21_A,ID21,A,2023,160.0,1,160.0,inf,peak_tail,2023-09-01,61,10,160.0,16,1,2023-09-01,2023-10-31
ID21_A,ID21,A,2024,160.0,1,160.0,inf,partial_end,2024-05-01,117,42,160.0,16,1,2024-05-01,2024-08-25
ID22_A,ID22,A,2023,160.0,1,160.0,inf,peak_tail,2023-09-01,61,10,160.0,16,1,2023-09-01,2023-10-31
ID22_A,ID22,A,2024,160.0,1,160.0,inf,partial_end,2024-05-01,112,37,160.0,16,1,2024-05-01,2024-08-20
ID23_A,ID23,A,2023,160.0,1,160.0,inf,peak_tail,2023-09-01,61,10,160.0,16,1,2023-09-01,2023-10-31
ID23_A,ID23,A,2024,160.0,1,160.0,inf,partial_end,2024-05-01,117,42,160.0,16,1,2024-05-01,2024-08-25
ID24_A,ID24,A,2023,160.0,1,160.0,inf,peak_tail,2023-09-01,61,10,160.0,16,1,2023-09-01,2023-10-31
ID24_A,ID24,A,2024,160.0,1,160.0,inf,partial_end,2024-05-01,117,42,160.0,16,1,2024-05-01,2024-08-25
ID02_B,ID02,B,2024,34.4,0,30.0,40.0,peak_tail,2024-09-10,53,4,80.0,8,0,2024-09-07,2024-10-31
ID02_B,ID02,B,2025,45.3,0,40.0,50.0,partial_end,2025-06-15,48,0,80.0,8,0,2025-05-01,2025-06-17
ID03_B,ID03,B,2024,51.1,0,50.0,60.0,peak_tail,2024-09-13,53,4,80.0,7,0,2024-09-07,2024-10-31
ID03_B,ID03,B,2025,61.6,0,60.0,70.0,partial_end,2025-07-31,86,18,80.0,7,0,2025-05-01,2025-08-02
ID04_B,ID04,B,2024,46.7,0,40.0,50.0,peak_tail,2024-09-17,43,0,80.0,8,0,2024-09-17,2024-10-31
ID04_B,ID04,B,2025,80.0,1,80.0,inf,partial,2025-08-14,79,22,80.0,8,0,2025-05-01,2025-09-21
ID05_B,ID05,B,2024,57.8,0,50.0,60.0,peak_tail,2024-09-14,53,4,80.0,8,0,2024-09-07,2024-10-31
ID05_B,ID05,B,2025,75.6,0,70.0,80.0,full,2025-08-24,131,52,80.0,8,0,2025-05-01,2025-09-21
ID11_B,ID11,B,2024,80.0,1,80.0,inf,peak_tail,2024-09-07,53,4,80.0,8,0,2024-09-07,2024-10-31
ID11_B,ID11,B,2025,80.0,1,80.0,inf,partial_end,2025-05-01,30,0,80.0,8,0,2025-05-01,2025-05-30
ID13_B,ID13,B,2024,80.0,1,80.0,inf,peak_tail,2024-09-07,53,4,80.0,8,0,2024-09-07,2024-10-31
ID13_B,ID13,B,2025,80.0,1,80.0,inf,full,2025-05-01,129,51,80.0,8,0,2025-05-01,2025-09-20
ID20_B,ID20,B,2024,127.2,0,120.0,130.0,peak_tail,2024-09-10,53,4,160.0,16,0,2024-09-07,2024-10-31
ID20_B,ID20,B,2025,136.4,0,130.0,140.0,full,2025-08-07,124,51,160.0,16,0,2025-05-01,2025-09-15
ID21_B,ID21,B,2024,128.6,0,120.0,130.0,peak_tail,2024-09-11,53,4,160.0,14,0,2024-09-07,2024-10-31
ID21_B,ID21,B,2025,153.1,0,150.0,160.0,partial_end,2025-08-06,112,44,160.0,14,0,2025-05-01,2025-09-03
ID22_B,ID22,B,2024,125.9,0,120.0,130.0,peak_tail,2024-09-10,53,4,160.0,16,0,2024-09-07,2024-10-31
ID22_B,ID22,B,2025,140.0,0,140.0,150.0,full,2025-08-18,127,51,160.0,16,0,2025-05-01,2025-09-18
ID23_B,ID23,B,2024,160.0,1,160.0,inf,peak_tail,2024-09-07,53,4,160.0,16,0,2024-09-07,2024-10-31
ID23_B,ID23,B,2025,160.0,1,160.0,inf,partial_end,2025-07-31,101,33,160.0,16,0,2025-05-01,2025-08-17
ID24_B,ID24,B,2024,116.1,0,100.0,120.0,peak_tail,2024-09-10,53,4,160.0,15,0,2024-09-07,2024-10-31
ID24_B,ID24,B,2025,121.1,0,120.0,130.0,full,2025-08-03,120,51,160.0,15,0,2025-05-01,2025-09-11
