site_key,profile,deployment,date,depth_cm,temp_c
ID02_A,ID02,A,2023-09-01,10.0,5.706
ID02_A,ID02,A,2023-09-01,20.0,5.446
ID02_A,ID02,A,2023-09-01,30.0,4.163
ID02_A,ID02,A,2023-09-01,40.0,2.761
ID02_A,ID02,A,2023-09-01,50.0,2.722
ID02_A,ID02,A,2023-09-01,60.0,2.511
ID02_A,ID02,A,2023-09-01,70.0,2.151
ID02_A,ID02,A,2023-09-01,80.0,1.763
ID02_A,ID02,A,2023-09-02,10.0,5.17
ID02_A,ID02,A,2023-09-02,20.0,5.005
ID02_A,ID02,A,2023-09-02,30.0,3.941
ID02_A,ID02,A,2023-09-02,40.0,3.067
ID02_A,ID02,A,2023-09-02,50.0,2.659
ID02_A,ID02,A,2023-09-02,60.0,2.479
ID02_A,ID02,A,2023-09-02,70.0,2.145
ID02_A,ID02,A,2023-09-02,80.0,1.805
ID02_A,ID02,A,2023-09-03,10.0,3.655
ID02_A,ID02,A,2023-09-03,20.0,3.472
ID02_A,ID02,A,2023-09-03,30.0,2.932
ID02_A,ID02,A,2023-09-03,40.0,2.598
ID02_A,ID02,A,2023-09-03,50.0,2.454
ID02_A,ID02,A,2023-09-03,60.0,2.305
ID02_A,ID02,A,2023-09-03,70.0,1.97
ID02_A,ID02,A,2023-09-03,80.0,1.606
ID02_A,ID02,A,2023-09-04,10.0,5.722
ID02_A,ID02,A,2023-09-04,20.0,5.446
ID02_A,ID02,A,2023-09-04,30.0,3.396
ID02_A,ID02,A,2023-09-04,40.0,2.835
ID02_A,ID02,A,2023-09-04,50.0,2.372
ID02_A,ID02,A,2023-09-04,60.0,2.25
ID02_A,ID02,A,2023-09-04,70.0,1.954
ID02_A,ID02,A,2023-09-04,80.0,1.616
ID02_A,ID02,A,2023-09-05,10.0,5.081
ID02_A,ID02,A,2023-09-05,20.0,5.006
ID02_A,ID02,A,2023-09-05,30.0,3.753
ID02_A,ID02,A,2023-09-05,40.0,2.995
ID02_A,ID02,A,2023-09-05,50.0,2.428
ID02_A,ID02,A,2023-09-05,60.0,2.28
ID02_A,ID02,A,2023-09-05,70.0,1.992
ID02_A,ID02,A,2023-09-05,80.0,1.685
ID02_A,ID02,A,2023-09-06,10.0,2.606
ID02_A,ID02,A,2023-09-06,20.0,2.623
ID02_A,ID02,A,2023-09-06,30.0,2.533
ID02_A,ID02,A,2023-09-06,40.0,2.206
ID02_A,ID02,A,2023-09-06,50.0,2.294
ID02_A,ID02,A,2023-09-06,60.0,2.147
ID02_A,ID02,A,2023-09-06,70.0,1.842
ID02_A,ID02,A,2023-09-06,80.0,1.512
ID02_A,ID02,A,2023-09-07,10.0,5.742
ID02_A,ID02,A,2023-09-07,20.0,5.608
ID02_A,ID02,A,2023-09-07,30.0,4.99
ID02_A,ID02,A,2023-09-07,40.0,3.842
ID02_A,ID02,A,2023-09-07,50.0,2.707
ID02_A,ID02,A,2023-09-07,60.0,2.55
ID02_A,ID02,A,2023-09-07,70.0,2.263
ID02_A,ID02,A,2023-09-07,80.0,1.951
ID02_A,ID02,A,2023-09-08,10.0,6.426
ID02_A,ID02,A,2023-09-08,20.0,6.251
ID02_A,ID02,A,2023-09-08,30.0,5.377
ID02_A,ID02,A,2023-09-08,40.0,-14.18
ID02_A,ID02,A,2023-09-08,50.0,2.997
ID02_A,ID02,A,2023-09-08,60.0,2.694
ID02_A,ID02,A,2023-09-08,70.0,2.332
ID02_A,ID02,A,2023-09-08,80.0,1.98
ID02_A,ID02,A,2023-09-09,10.0,6.492
ID02_A,ID02,A,2023-09-09,20.0,6.407
ID02_A,ID02,A,2023-09-09,30.0,4.864
ID02_A,ID02,A,2023-09-09,40.0,-13.799
ID02_A,ID02,A,2023-09-09,50.0,3.025
ID02_A,ID02,A,2023-09-09,60.0,2.734
ID02_A,ID02,A,2023-09-09,70.0,2.348
ID02_A,ID02,A,2023-09-09,80.0,1.94
ID02_A,ID02,A,2023-09-10,10.0,3.085
ID02_A,ID02,A,2023-09-10,20.0,2.898
ID02_A,ID02,A,2023-09-10,30.0,3.023
ID02_A,ID02,A,2023-09-10,40.0,-0.479
ID02_A,ID02,A,2023-09-10,50.0,2.68
ID02_A,ID02,A,2023-09-10,60.0,2.467
ID02_A,ID02,A,2023-09-10,70.0,2.083
ID02_A,ID02,A,2023-09-10,80.0,1.664
ID02_A,ID02,A,2023-09-11,10.0,0.011
ID02_A,ID02,A,2023-09-11,20.0,0.127
ID02_A,ID02,A,2023-09-11,30.0,1.574
ID02_A,ID02,A,2023-09-11,40.0,0.73
ID02_A,ID02,A,2023-09-11,50.0,2.17
ID02_A,ID02,A,2023-09-11,60.0,2.09
ID02_A,ID02,A,2023-09-11,70.0,1.771
ID02_A,ID02,A,2023-09-11,80.0,1.386
ID02_A,ID02,A,2023-09-12,10.0,1.201
ID02_A,ID02,A,2023-09-12,20.0,0.908
ID02_A,ID02,A,2023-09-12,30.0,1.311
ID02_A,ID02,A,2023-09-12,40.0,1.647
ID02_A,ID02,A,2023-09-12,50.0,1.823
ID02_A,ID02,A,2023-09-12,60.0,1.787
