method,site_key,profile,deployment,year,alt_cm,right_censored,alt_lo,alt_hi,coverage,peak_day,n_days,peak_days,depth_max_cm,n_layers,depth_reversed,obs_start,obs_end,core_top,core_bot,stefan_clim_cm,stefan_year_cm,s1_catboost_cm,s1_ftt_cm,s1_ens7_cm,above_near_obs_cm,cell_dist_km
isotherm_0C,ID02_A,ID02,A,2023,80.0,1,80.0,inf,peak_tail,2023-09-01,61.0,10.0,80.0,8.0,1,2023-09-01,2023-10-31,,,59.6,54.0,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID02_A,ID02,A,2024,80.0,1,80.0,inf,partial_end,2024-05-04,115.0,40.0,80.0,8.0,1,2024-05-01,2024-08-23,,,59.6,52.5,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID03_A,ID03,A,2023,80.0,1,80.0,inf,peak_tail,2023-09-01,61.0,10.0,80.0,8.0,1,2023-09-01,2023-10-31,,,59.6,54.0,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID03_A,ID03,A,2024,80.0,1,80.0,inf,partial_end,2024-05-01,118.0,43.0,80.0,8.0,1,2024-05-01,2024-09-01,,,59.6,52.5,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID04_A,ID04,A,2023,80.0,1,80.0,inf,peak_tail,2023-09-01,61.0,10.0,80.0,8.0,1,2023-09-01,2023-10-31,,,59.6,54.0,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID04_A,ID04,A,2024,80.0,1,80.0,inf,partial_end,2024-05-01,118.0,43.0,80.0,8.0,1,2024-05-01,2024-09-01,,,59.6,52.5,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID05_A,ID05,A,2023,80.0,1,80.0,inf,peak_tail,2023-09-01,61.0,10.0,80.0,8.0,1,2023-09-01,2023-10-31,,,59.6,54.0,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID05_A,ID05,A,2024,80.0,1,80.0,inf,partial_end,2024-05-01,107.0,32.0,80.0,8.0,1,2024-05-01,2024-08-15,,,59.6,52.5,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID21_A,ID21,A,2023,160.0,1,160.0,inf,peak_tail,2023-09-01,61.0,10.0,160.0,16.0,1,2023-09-01,2023-10-31,,,59.6,54.0,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID21_A,ID21,A,2024,160.0,1,160.0,inf,partial_end,2024-05-01,117.0,42.0,160.0,16.0,1,2024-05-01,2024-08-25,,,59.6,52.5,53.0,55.0,53.8,35.0,0.97
