part,cv,model,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,region,delta_rmse,ci_lo,ci_hi,metric,p1_stefan,p2_edaphic,p3_ttop,p4_kudryavtsev,p5_lambda,value,spearman,expert,var,var_label,unit,bin,bin_lo,bin_hi,w_p1_stefan,w_p2_edaphic,w_p3_ttop,w_p4_kudryavtsev,w_p5_lambda,dom_p1_stefan,dom_p2_edaphic,dom_p3_ttop,dom_p4_kudryavtsev,dom_p5_lambda
A_indomain,spatial_block_AK,stefan,0.0,13606.0,14.557,10.85,-0.991,0.2987,17.382,0.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_indomain,spatial_block_AK,uniform,0.0,13606.0,31.304,25.014,22.522,-2.2434,17.382,-0.8009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_indomain,spatial_block_AK,oracle,0.0,13606.0,10.341,7.196,4.058,0.6461,17.382,0.4051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_indomain,spatial_block_AK,mix_logit,0.0,13606.0,14.968,11.285,2.84,0.2584,17.382,0.1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_indomain,spatial_block_AK,mix_mlp,0.0,13606.0,14.643,10.835,2.194,0.2903,17.382,0.1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_indomain,spatial_block_AK,mix_mlp,1.0,13606.0,15.562,11.519,5.874,0.1985,17.382,0.1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_indomain,spatial_block_AK,mix_mlp,2.0,13606.0,14.848,11.066,2.452,0.2703,17.382,0.1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_indomain,spatial_block_AK,mix_mlp_seedmean,-1.0,13606.0,14.564,10.78,3.507,0.298,17.382,0.1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_boot,spatial_block_AK,mix_logit,,,,,,,,,,,Alaska_indomain,-0.5213603430510182,-1.5919073782101154,0.3811824032988965,,,,,,,,,,,,,,,,,,,,,,,,,
F_gatediag,LORO,,,16681.0,,,,,,,,,Canada,,,,train_best_share,0.6654876805946885,0.12757028955098615,0.0,0.16347940770936994,0.04346262214495534,,,,,,,,,,,,,,,,,,,
B_loro,LORO,stefan,0.0,742.0,27.478,21.259,0.511,0.208,30.877,0.1101,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,uniform,0.0,742.0,66.063,61.902,60.92,-3.5776,30.877,-1.1395,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,oracle,0.0,742.0,20.958,17.455,7.903,0.5393,30.877,0.3212,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_logit,0.0,742.0,29.327,23.987,6.915,0.0979,30.877,0.0502,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_mlp,0.0,742.0,44.496,35.247,30.402,-1.0767,30.877,-0.4411,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_loro,LORO,mix_mlp,1.0,742.0,32.409,26.072,14.406,-0.1017,30.877,-0.0496,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
