model,cv,band,unit,depth_lo,depth_hi,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90
gbm_mono,site_block6,all,C,0.02,3.0,764,2.66,2.056,-0.13,0.4688,3.65,0.2712,,
gbm_mono,site_block6,0.02-0.5m,C,0.02,0.5,466,2.98,2.405,-0.258,0.2776,3.506,0.1501,,
gbm_mono,site_block6,0.5-1m,C,0.5,1.0,241,1.935,1.501,0.259,-0.8712,1.415,-0.3679,,
gbm_mono,site_block6,1-2m,C,1.0,2.0,31,2.442,1.21,-0.921,0.0652,2.526,0.0331,,
gbm_mono,site_block6,2-3m,C,2.0,3.0,26,2.656,1.957,-0.496,-0.2218,2.403,-0.1053,,
gbm_free,site_block6,all,C,0.02,3.0,764,2.812,2.158,-0.267,0.4065,3.65,0.2296,,
gbm_free,site_block6,0.02-0.5m,C,0.02,0.5,466,3.211,2.593,-0.502,0.1608,3.506,0.0839,,
gbm_free,site_block6,0.5-1m,C,0.5,1.0,241,1.839,1.402,0.354,-0.6896,1.415,-0.2998,,
gbm_free,site_block6,1-2m,C,1.0,2.0,31,2.679,1.494,-1.038,-0.1248,2.526,-0.0606,,
gbm_free,site_block6,2-3m,C,2.0,3.0,26,2.768,2.174,-0.872,-0.3276,2.403,-0.1522,,
gbm_mono,alt_match,0C_crossing_noFairbanks,cm,0.02,3.0,12,23.789,,7.742,-0.3042,21.76,,,
gbm_mono,alt_match,0C_crossing,cm,0.02,3.0,18,40.662,,11.239,-0.2938,36.78,,,
