n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,region,model
726,29.397,21.285,-8.477,0.0515,30.184,0.0261,,,ABoVE_CA,GBM
726,27.163,21.139,-3.105,0.1902,30.184,0.1001,,,ABoVE_CA,MLP
726,27.442,21.015,-3.33,0.1734,30.184,0.0908,,,ABoVE_CA,FT-Transformer
726,27.096,21.213,-2.25,0.1942,30.184,0.1023,,,ABoVE_CA,TabM
726,30.436,23.851,-1.263,-0.0168,30.184,-0.0083,,,ABoVE_CA,Flow
726,31.263,22.919,-9.512,-0.0728,30.184,-0.0357,,,ABoVE_CA,Diffusion
726,27.993,20.68,-6.164,0.1399,30.184,0.0726,,,ABoVE_CA,앙상블(GBM+FT-T)
13542,17.571,12.93,6.067,-0.0222,17.379,-0.0111,,,ABoVE_AK,GBM
13542,30.681,21.805,14.687,-2.1167,17.379,-0.7654,,,ABoVE_AK,MLP
13542,15.117,10.944,0.484,0.2434,17.379,0.1302,,,ABoVE_AK,FT-Transformer
13542,36.958,24.634,14.993,-3.5225,17.379,-1.1266,,,ABoVE_AK,TabM
13542,33.298,26.007,13.05,-2.671,17.379,-0.916,,,ABoVE_AK,Flow
13542,22.564,17.702,8.245,-0.6857,17.379,-0.2983,,,ABoVE_AK,Diffusion
13542,15.029,10.916,2.963,0.2521,17.379,0.1352,,,ABoVE_AK,앙상블(GBM+FT-T)
3037,29.763,25.922,21.103,-0.9909,21.094,-0.411,,,Lena_RU,GBM
3037,29.426,24.878,19.162,-0.946,21.094,-0.395,,,Lena_RU,MLP
3037,30.636,27.137,22.481,-1.1094,21.094,-0.4524,,,Lena_RU,FT-Transformer
3037,30.476,21.078,12.578,-1.0875,21.094,-0.4448,,,Lena_RU,TabM
3037,28.501,22.888,15.694,-0.8256,21.094,-0.3511,,,Lena_RU,Flow
3037,25.249,20.068,12.305,-0.4328,21.094,-0.197,,,Lena_RU,Diffusion
3037,30.061,26.437,21.741,-1.031,21.094,-0.4251,,,Lena_RU,앙상블(GBM+FT-T)
