model,region,n,rmse_cm,mae_cm,bias_cm,debiased_rmse_cm,corr,r2,skill_over_mean
PHYS_const,ABoVE_AK,13542,16.597,12.878,-5.041,15.813,0.607,0.088,0.045
PHYS_const,ABoVE_CA,726,27.12,21.178,-0.899,27.105,0.642,0.1927,0.1015
PHYS_const,Lena_RU,3037,22.157,16.394,7.046,21.007,0.103,-0.1034,-0.0504
PHYS_clim,ABoVE_AK,13542,17.749,13.976,3.228,17.453,0.614,-0.0431,-0.0213
PHYS_clim,ABoVE_CA,726,26.468,21.079,1.358,26.433,0.644,0.2311,0.1231
PHYS_clim,Lena_RU,3037,22.194,16.472,7.218,20.987,0.106,-0.107,-0.0521
PHYS_soil,ABoVE_AK,13542,18.986,14.901,2.74,18.788,0.594,-0.1935,-0.0925
PHYS_soil,ABoVE_CA,726,29.086,21.668,-8.616,27.78,0.45,0.0714,0.0364
PHYS_soil,Lena_RU,3037,21.612,15.458,5.323,20.946,0.13,-0.0498,-0.0246
PHYS_nn,ABoVE_AK,13542,16.773,12.336,-2.375,16.604,0.507,0.0686,0.0349
PHYS_nn,ABoVE_CA,726,42.57,35.228,19.187,38.0,-0.097,-0.989,-0.4103
PHYS_nn,Lena_RU,3037,45.636,40.828,33.443,31.051,-0.033,-3.6806,-1.1635
ML_pure_nn,ABoVE_AK,13542,18.831,14.566,4.542,18.275,0.576,-0.1741,-0.0836
ML_pure_nn,ABoVE_CA,726,27.282,21.633,7.875,26.121,0.519,0.183,0.0961
ML_pure_nn,Lena_RU,3037,32.585,28.744,20.599,25.248,0.057,-1.3863,-0.5448
ML_pure_gbm,ABoVE_AK,13542,18.497,12.707,2.758,18.29,0.503,-0.1328,-0.0643
ML_pure_gbm,ABoVE_CA,726,30.494,25.277,18.901,23.929,0.645,-0.0206,-0.0103
ML_pure_gbm,Lena_RU,3037,65.131,60.011,57.626,30.353,0.009,-8.5338,-2.0877
RESIDUAL,ABoVE_AK,13542,19.166,14.36,7.316,17.714,0.517,-0.2162,-0.1028
RESIDUAL,ABoVE_CA,726,29.127,23.519,15.336,24.763,0.628,0.0688,0.035
RESIDUAL,Lena_RU,3037,60.525,55.33,52.754,29.669,-0.028,-7.233,-1.8693
HYBRID_aoa,ABoVE_AK,13542,16.354,12.331,-3.658,15.939,0.584,0.1145,0.059
HYBRID_aoa,ABoVE_CA,726,27.12,21.178,-0.899,27.105,0.642,0.1927,0.1015
HYBRID_aoa,Lena_RU,3037,22.157,16.394,7.046,21.007,0.103,-0.1034,-0.0504
