model,cv_type,n,rmse_cm,mae_cm,bias_cm,r2,skill_over_mean
PHYS_const,spatial_block,17423,17.86,12.213,-1.311,0.2209,0.1173
PHYS_clim,spatial_block,17423,17.893,12.363,-0.552,0.218,0.1157
PHYS_soil,spatial_block,17423,18.12,12.352,-0.855,0.198,0.1045
PHYS_nn,spatial_block,17423,20.728,14.138,2.404,-0.0494,-0.0244
ML_pure_nn,spatial_block,17423,20.938,15.438,6.165,-0.0708,-0.0348
ML_pure_gbm,spatial_block,17423,20.247,15.159,5.124,-0.0013,-0.0006
RESIDUAL,spatial_block,17423,22.631,16.079,5.132,-0.251,-0.1185
HYBRID_aoa,spatial_block,17423,17.555,12.046,-1.425,0.2473,0.1324
PHYS_const,LORO,17305,18.237,13.843,-2.746,0.1008,0.0517
PHYS_clim,LORO,17305,19.036,14.712,3.85,0.0202,0.0102
PHYS_soil,LORO,17305,19.989,15.283,2.717,-0.0804,-0.0394
PHYS_nn,LORO,17305,25.723,18.297,4.815,-0.7891,-0.3376
ML_pure_nn,LORO,17305,22.25,17.351,7.499,-0.3386,-0.157
ML_pure_gbm,LORO,17305,32.423,21.537,13.065,-1.8424,-0.686
RESIDUAL,LORO,17305,31.079,21.934,15.627,-1.6118,-0.6161
HYBRID_aoa,LORO,17305,18.064,13.415,-1.663,0.1177,0.0607
